Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
620,"When the body is on the rational horizon, what is its zenith distance?",090deg.,000deg.,270deg.,180deg.,A,
621,"When the electronic chart is part of an ECDIS, it must display the minimum data required by IMO/IHO, to include all of the following EXCEPT:",tidal currents,regulatory boundaries,aids to navigation,hydrography,A,
622,"When the index mirror and the horizon mirror of the sextant are parallel, the sextant should read:",0deg.,60deg.,90deg.,120deg.,A,
623,"When the range of the target is decreasing and the bearing remains constant, the ships are on:",collision course,diverging course,opposite course,parallel course,A,
624,"When turning a ship in restricted space with a strong wind, it is normally best to __________. ","turn so that the tendency to back into the wind can be used, if on a single-screw vessel","go ahead on both engines with the rudder hard to one side, if on a twin-screw vessel"," back down with the rudder hard to one side, if on a single-screw vessel","take advantage of the tendency to back to port, if on a twin-screw vessel",A,
625,"When using an echo sounder in deep water, it is NOT unusual to:","receive a strong return at about 200 fathoms during the day, and one nearer the surface at night","receive a first return near the surface during the day, and a strong return at about 200 fathoms at night",receive false echoes at a constant depth day and night,have to recalibrate every couple of days due to inaccurate readings,A,
626,"When using the International Code of Signals to communicate, the end of a radiotelephone transmission is indicated by the signal:",AR,YZ,OU,TC,A,
627,When using the radar for navigating:,"and using ranges, the most rapidly changing range should be measured last","and using two radar ranges for a fix, the objects of the ranges should be close to   reciprocal bearings",the best fix is obtained by using a tangent bearing and a range,"and crossing a radar range of one object with the visual bearing of a second object, the two objects should be 800 to 1100 apart.",A,
628,"When vertical fired, a rocket parachute flare shall reach an altitude of at least:",300 meters,310 meters,320 meters,330 meters,A,
629,When would you use 2177 kHz MF DSC frequency?,MF DSC Ship-ship and Shore -ship,MF DSC Ship-Shore general calling,MF DSC Shore-ship calling only,MF DCS Ship - ship Calling only,A,
630,"When you are firing a pyrotechnic distress signal, it should be aimed at:",about 60 degrees above the horizon,straight overhead,at the vessel whose attention you are trying to get,into the wind,A,
631,"When you have mail on board, what code flag should you hoist?",Yankee,Victor ,Charlie,Oscar,A,
632,"Whenever a course alteration is made to avoid collision, it should be:",a large change,a succession of small changes,supplemented by speed change,any of the choices is correct,A,
633,"Whenever a vessel is engaged in underwater operations or dredging and also is at anchor, she is required by regulations to display which lights?",Lights prescribed under Rule 27,Lights prescribed under Rule 30,Lights prescribed under Rule 29,Lights prescribed under Rule 28,A,
634,"Whether using demersal or pelagic gear when engaged in trawling, the additional light signal for vessels of 20 meters or more in length when the net has come fast upon an obstruction is:",red light over red light in vertical line,two white lights in a vertical line,one white light over one red light in a vertical line,three red lights in a vertical line,A,
635,Which characteristic is a disadvantage of a controllable- pitch propeller as compared to a fixed-pitch propeller? ,Some unusual handling characteristics,Slightly higher fuel consumption ,Lack of directional control when backing,Inefficient at high shaft RPM,A,
636,Which component of the radar system must a returning echo strikes first?,Antenna,Magnetron,Pointer,Base,A,
637,Which condition indicate that your radar needs maintenance?,Serrated range rings,Indirect echoes,Multiple echoes,Blind sector,A,
638,Which emergency equipment should you keep near the towing bitts?,A fire ax and/or cutting torch,A self-contained breathing apparatus (SCBA),A boat hook and a spanner wrench,A Stokes litter basket,A,
639,Which factor has the greatest effect on the amount of gain  required to obtain a fathometer reading?,Type of bottom,Salinity of water,Temperature of water,Atmospheric pressure,A,
640,Which is the average number of pulses per unit time?,Pulse repetition rate,Pulse range,Beam width,Hertz,A,
641,Which is the basic operating principle of the satellite navigation system?,Doppler shift,Echo,Phase difference,Time difference,A,
642,Which is the maximum degree angle that the hydro-electric steering gear can turn the ship's rudder during normal ship's speed operation?,37,32,45,40,A,
643,Which is the most accurate position by RADAR fix?,RADAR range and visual bearing,The intersection of two RADAR bearings,RADAR range and RADAR bearing,Two RADAR ranges,A,
644,Which lifeboat equipment would be most suitable for night signaling to a ship on the horizon?,A red parachute flare,A flashlight,A lantern,A red handheld flare,A,
645,Which light(s) is (are) AMONG those shown by a 200-meter vessel at anchor?,Any available working lights to illuminate the decks,"In the forepart of the vessel, a 225deg. white light","In the after part of the vessel, a 135deg. white light","In the forepart of the vessel, a 112.5deg. white light",A,
646,Which mode of display of the radar wherein your ships head is always on top?,Unstabilized display,Stabilized display,"True Motion, Off-center",North-Up display,A,
647,Which of the following bearings of two fixed and charted objects will give a good crossing angle between 2 LOPs if taken at nearly the same time?,207 deg and 119 deg,325 deg and 144 deg,029 deg and 025 deg,232 deg and 229 deg,A,
648,Which of the following information is NOT required in reporting danger messages?,Engine failure,Ice,Derelicts,Direct dangers to navigation,A,
649,Which of the following is most commonly used by SAR helicopters when evacuating personnel from survival craft?,A rescue sling,A rescue net,A rescue seat,A rescue litter,A,
650,Which of the following is NOT a contributing cause of ocean currents?,Gravitational effects of celestial bodies,Density differences in the water,Underwater topography,Surface winds,A,
651,Which of the following is NOT a vessel restricted in her ability to maneuver as defined in the Colregs?,A loaded VLCC navigating in a fairway flanked by shoal water,A vessel servicing a navigational buoy,A minesweeper engaged in minesweeping operations,A tanker underway refueling a warship,A,
652,Which of the following is NOT considered as distress signal?,Green star shells,Flames from the vessel,Continuous sounding of a whistle,A flag over a ball,A,
653,Which of the following is not true in respect to the OOW?,He should keep his watch on the bridge but can leave anytime if necessary,He should be aware of any work being carried out in vicinity of the radar and radio signals,He ensure that an efficient lookout is maintained at all times,He should ensure that the planned passage is properly carried out during his watch,A,
654,Which of the following is the best to obtain vessel's position during poor visibility?,Radar,GPS,Loran,Decca,A,
655,Which of the following mode of operation for ECDIS has been recently approved by the IMO under Resolution MSC.86(7)? ,RCDS,RSDC,DSRC,NEC,A,
656,Which of the following reflects the statement that ECDIS only supports the mariner in performing navigational tasks?,All of the choices,"Without official updated ENC data for the intended voyage, ECDIS does not replace paper charts.",Determine true bearing and distance between two geographical points.,Make navigation more efficient. ,A,
657,Which of the following reflects the statement that ECDIS only supports the mariner in performing navigational tasks?,All of the choices,"Without official updated ENC data for the intended voyage, ECDIS does not replace paper charts.",ARPA targets do not show up on ECDIS unless they are acquired and tracked.,ECDIS does not take the place of a proper lookout.,A,
658,Which of the following smoke signals can be given off by a vessel in distress or in need of assistance?,Orange colored smoke,Green colored smoke,Black smoke,Blue smoke,A,
659,Which of the following statements about pneumatic chipping tools is TRUE?,The operator must wear safety goggles or glasses,the equipment must be grounded to prevent shock hazard,The chipping mechanism is made of a non-sparking material that is safe to use near explosive atmospheres,The needles of the needle type chipping gun must be replaced when they have been blunted more than their diameter,A,
660,Which of the following statements about the Williamson turn is FALSE?,It requires the highest degree of ship handling skills to accomplish.,It is the slowest of methods used in turning the vessel.,It is the best turn to use when the victim is not in sight due to reduced visibility.,It returns the vessel to the original tract on a reciprocal course.,A,
661,Which of the following terms defines a unit responsible for organizing search and rescue services?,Rescue Co-ordination Center (RCC),Rescue Sub-center (RSC),Automated Mutual Assistance Vessel rescue System (AMVER),Search and rescue Data Provider (SDP),A,
662,Which of the following will act to dissipate fog?,Down slope motion of an air mass along a coast,Advection of warm air over a colder surface,Rain that is warmer than air,Upwelling cold water,A,
663,Which of the listed reference systems affect the information on ECDIS?,All of the choices,Geodetic system used in the creation of the chart data.,Draft of vessel entered into sounder that is connected to ECDIS.,Physical location of scanner for ARPA connected to ECDIS.,A,
664,Which of the listed vessels must keep out of the way of all the others? ,A sailing vessel,A vessel engaged in fishing,A vessel not under command,A vessel restricted in her ability to maneuver,A,
665,Which one among the statement is true about a tunnel bow thruster?,It provide lateral control without affecting the headway,It is fully effective at speed up to 6 knots,It can be used to slow the ship in addition to backing down,It will allow you to hold a position when the current is from astern,A,
666,Which radio call-in plan is the most prudent?,There must be specific instructions for the designated responsible person to follow if your call does not come in on schedule.,The designated responsible person should be over 18 years of age.,The designated responsible person must be instructed to call the Coast Guard search and rescue authorities immediately if your call does not come in on schedule.,There must be a designated responsible person who will be available to receive your call at anytime.,A,
667,Which radio frequency band is used by Omega system?,Very Low Frequency (VLF),Extremely Low Frequency (ELF),Medium Frequency (MF),Low Frequency (LF),A,
668,Which radio frequency/channels are reserved for emergency communication?,2182 kHz/VHF channel 16,2128 kHz/VHF channel 16,2812 kHz/VHF channel 17,2812 kHz/VHF channel 12,A,
669,"Which rule covers the following circumstances such as a sailing vessel encounters a vessel not under command, the sailing vessel is deemed to give way to the vessel not under command unless the NUC vessel is overtaking? ",Rule 18,Rule 13,Rule 16,Rule 17,A,
670,"Which shallow water effect will increase dramatically if you increase your ship's speed past its ""critical speed""?",Squatting,Smelling the bottom,Sinkage,Bank cushion,A,
671,Which shipboard equipment will detect a signal from a SART?,X-Band radar,S-Band radar,A DSC receiver,The auto alarm,A,
672,"Which signal is used by a rescue unit to indicate, ""Avast hauling""?",Firing of a red star signal,Firing of a green star signal,Three white star rockets fired at one-minute intervals,An orange smoke signal,A,
673,Which single-letter sound signal may be made only in compliance with the International Rules of the Road?,D,F,Q,U,A,
674,Which statement about gyrocompass error is TRUE?,The amount of the error and the sign will generally be the same on all headings.,The sign (E or W) of the error will change with different headings of the ship.,Any error will remain constant unless the compass is stopped and restarted.,Any error shown by a gyro repeater will be the same as the error of the master compass.,A,
675,Which statement applies to Rule 8 (b) of the 1972 Colregs?,a succession of small alterations of course and/or speed should be avoided,any action to avoid a close quarter should not result in another close quarter situation,action taken to avoid collision with another vessel shall be such as to result in passing at a safe distance,when in sight of another vessel any action taken must be accompanied by sound signals,A,
676,"Which statement is TRUE concerning ""night effect"" and the reception of radio signals?","""Night effect"" is caused by rapid changes in the ionosphere","""Night effect"" is most prevalent late at night","""Night effect"" is caused by all of the polarized ground waves being vertical","During ""night effect"", polarization is at a minimum",A,
677,Which system is most likely to be affected by atmospheric disturbances? ,MF/HF radiotelephony,VHF DSC,INMARSAT,safetyNET,A,
678,Which term use to describe the line drawn on the chart to indicate that beyond that line the vessel has no option but to proceed?,abort line,leading line,contingency line,non-return line,A,
679,Which type of link is generally used to connect shots of anchor chain?,Detachable,Open,Pear shaped,Stud link,A,
680,Which units of measure appear on the ECDIS chart display? ,All of these ,position,depth,height,A,
681,"Which vessel is ""underway"" according to the Rules?","A vessel engaged in towing, not making way",A vessel made fast to a single point mooring buoy,A vessel fishing with trawls,A vessel engaged in mineclearing,A,
682,"While at sea or the vessel is underway, what is the frequency of checking the time signal, ship's clock, steering gear and its auxiliaries?",Every noon,Every watch,Every 6 hours,Every 12 hours,A,
683,"While in port working cargo, a fire is reported on the forward car deck. After the captain sounds the general alarm, the crew musters and starts fighting the fire. As Chief Officer you inform the Captain that shore side firefighting assistance needs to be called. How would you then proceed? ",Continue fighting the fire and use the ship's Fire Control Plan and coordinate with shore side firefighters upon their arrival to extinguish the fire.,Stop firefighting efforts and wait until the shore side firefighters arrive.,Continue fighting the fire and use the ship's soles manual and coordinate with shore side firefighters to extinguish the fire.,Continue fighting the fire and use the ship's SOPEP plan and coordinate with shore side firefighters to extinguish the fire.,A,
684,"While in port, what signal flag would inform the vessel's crew to report on board because the vessel was about to proceed to sea?",P,H,U,A,A,
685,"While inspecting the steering gear at sea, you should check for:",any leaks in the system,accuracy of the rudder angle indicator,movement of the trick wheel,position of the six-way valve,A,
686,"While navigating at high seas and crossing various oceans as per your final destination, what is the chart that you will consult at all times as references pertaining to weather, winds and currents?",Pilot charts,Gnomonic charts,Mercator Charts,Passage Charts,A,
687,"While navigating in fog off a coastline of steep cliffs, you hear the echo of the ships fog horn 3 1/2 seconds after the signal was sounded. What is the distance to the shore?",640 Yards,480 Yards,315 Yards,143 Yards,A,
688,"While the vessel is on a heading of magnetic north or magnetic south, what magnetic compass corrector(s) CAN be set? I. Fore and aft magnets and flinders bar II. Heeling magnets and Athwartship magnets III. Quadrantal spheres",II only,II and III,I and II,I only,A,
689,"While underway in thick fog you are on watch and hear the cry ""man overboard"". Which type of maneuver should you make?",Williamson turn,Anderson Turn,Racetrack turn,Round turn,A,
690,Who is responsible for transmitting a message stating that distress communications have ceased?,The rescue Coordination Center (RCC) controlling the distress communications,The vessel providing the initial communications with the distressed vessel,The Coast Radio Station (CRS) that was first contacted concerning the distress situation,No formal message must be transmitted as long as no distress-related communications have occurred after reasonable time.,A,
691,Why are low altitude sun sights not generally used?,Errors due to unusual refraction may exist,Sextants may have large errors at small angles of elevation,Modern sight reduction tables are not complete for low altitudes below 5°,The glare on the horizon causes irradiation errors,A,
692,Why is it important to determine how your ship is drifting in various conditions?,To find out if there is any danger of grounding or colliding with objects during drifting,"To save fuel for the owner by ""sailing"" the ship whenever possible",To know how far you can drift in a given period of time,To determine how many hours you have at your disposal before you need to call for assistance,A,
693,Wind and density differences in the ocean water are:,the two most effective generating forces of the ocean currents.,the two most important reasons for CLIMATE CHANGE such as the El NINO phenomenon.,the two most effective effects of elongated range in tide.,the two most effective reasons for optimum propulsion on your vessel while underway.,A,
694,"With engines turning, a vessel aground is considered as:",not underway,underway,underway but not making way,not under command,A,
695,"With radar overlay on ECDIS, what can be the cause(s) of radar echoes not matching the charted position of a fixed object?",All of the choices,Either the Chart Display Category is in Base Display or the scale is so small that it is showing Layers Lost.,The scale is so small that it is showing Layers Lost.,Too much information is as dangerous as too little,A,
696,"With regards to the IMO performance standards, it sets as a minimum that the ECDIS system on board ships must be able to perform all of the following, EXCEPT:",Altitude and azimuths of sighted celestial bodies,Transforming from local datum to WGS-84 datum,Calculate great circle and rhumbline courses and distances,True bearings and ranges between two charted landmarks,A,
697,With regards to the procedure that may be adopted when overtaking can only take place by mutual agreement is described under which COLREG Rule?,Rule 9(e),Rule 9(f),Rule 9(a),Rule 9(g),A,
698,"With respect to failure warnings and status indications, GPS receivers should provide, at a minimum:",a warning of loss of position,a cross-track error alarm,an indication of a change in satellite configuration,an alarm if engine speed is suddenly reduced,A,
699,"With the exception of anchor light, within what angular sector shall all-round lights be located as not to be obscured by masts, topmasts or structures?",6°,10°,5°,3°,A,
700,"You are  steering a course of 160°T, you wish to observe a body for a latitude check. What would the azimuth have to be?",000deg.T,090deg.T,150deg.T,240deg.T,A,
701,"You are  steering a course of 230°T, you wish to observe a body for a latitude check. What would the azimuth have to be?",180°T,090°T,230°T,240°T,A,
702,You are a Senior Deck Officer onboard a merchant vessel. During the night you have been in collision with a sail boat. There is no sign of life in the water. What will you do?,Alarm the rescue center and commence searching for any survivors.,Leave the position as fast as possible.,Just wait for assistance.,"Call the company, explain the  situation and ask for orders.",A,
703,You are a tanker vessel in ballast and the two vessels are interlocked after collision. You have already made clear that all people are well taken care off and you will try to separate the two vessels. What should be your greatest concern?,That the separation may cause sparks that can possibly ignite the oil or any other flammable substance,The exact time of the collision.,"If the vessels separate, the other vessel may run away and you will be the only one to blame.",That you have your permission from the company to do so.,A,
704,"You are a vessel following a traffic lane and another large power-driven vessel is crossing the scheme ahead of you.  She is a ""crossing vessel"" under the Rules, and she is on your starboard bow, and you consider that risk of collision exists. What should you do in this scenario?",You should comply with the Collision Regulations as the give-way vessel,"You are the stand on vessel, because following a lane makes you the privilege vessel",You should comply with the collision Regulations only if you can do so without crossing a separation line or zone,You should leave the traffic lane so that you will have full freedom to maneuver,A,
705,You are aboard a right-handed single-screw vessel with headway on. The engine is put full astern and the rudder hard left. What will the bow do? ,"It will swing to the left, straighten out and then swing to the right as the vessel loses way.","It will swing to the left, and will swing left faster as the vessel loses way. ",It will swing to the left without increasing or decreasing its swing.,The bow will swing to the right.,A,
706,You are approaching a distressed vessel which is on fire in order to remove survivors. Your approach should be:,to windward of the distressed vessel,to leeward of the distressed vessel ,direct course to the vessel,any approach will do,A,
707,You are approaching a light fitted with a RACON. The light may be identified on the radar by __________.,a coded signal appearing on the same bearing at a greater range than the light,a circle appearing on the scope surrounding the light,an audible signal when the sweep crosses the light,a dashed line running from the center of the scope to the light,A,
708,You are approaching a port when you see three lights in a vertical line. The upper and lower are green and the middle white. What does this mean?,A vessel may proceed only when it has received specific orders to do so,You may proceed with caution,Port closed,Port open,A,
709,"You are approaching a steamer that is broken down and are preparing to take her in tow. BEFORE positioning your vessel to pass the towline, you must _________________.",compare the rate of drift between the ships ,install chafing gear on the towline,secure the bitter end of the towing hawser to prevent loss if the tow is slipped,have traveling lizards rigged to guide the towline while it is paid-out,A,
710,"You are backing on twin engines with rudders amidships.
Your starboard engine stalls. To continue backing on
course, you should ___________________.
",apply left rudder,apply right rudder,increase your engine speed,keep your rudder amidships,A,
711,"You are crossing a narrow channel on your 15 meter vessel “A”, when vessel “B”, which is a large and deeply loaded cargo vessel, is proceeding down the channel. In this situation, which statement is correct?",You have no right of way because you are less than 65 feet in length,You can impede the passage of the cargo vessel provided you are fast and maneuverable ,The cargo vessel has the right of way because it is running with the current,The Rule of Special Circumstances applies in this case,A,
712,You are doing a Williamson turn as a crew fell on port side. Your original course then was 238 deg. True.  You should shift the rudder as soon as  you are about on what course? ,178deg. True,298deg. True,060deg. True,090deg. True,A,
713,You are drifting with a loaded VLCC in open sea and have observed the direction and rate of drift. Can you do anything to change the direction and rate of drift?,We can trim the ship by astern as much as possible. This will most likely change the direction and rate of drift,"No, there is nothing we can do about that",We will just have to wait and see,We can apply the rudder although we have no engine power,A,
714,"You are going ahead on twin engines with rudder amidships. Your starboard engine stalls. To continue on course, you should:
",apply left rudder,apply right rudder,increase engine speed,keep your rudder amidships,A,
715,You are heading on a course and you put your rudder hard over.  The distance traveled parallel to the direction of the original course from where you put your rudder over to any point on the turning circle is known as:,advance,head reach,tactical diameter,transfer,A,
716,You are in a survival craft broadcasting a distress message. What information would be essential to your rescuers?,Your position by latitude and longitude,The nature of the distress,Your radio call sign,The time of day,A,
717,"You are in LONG 144deg. E. The date is 6 February, and the zone time is 0800. The Greenwich date and time are:","2200, 5 February","2300, 5 February","1700, 6 February","1800, 6 February",A,
718,You are in the Northern Hemisphere and a tropical wave is located 200 miles due west of your position.  Where will the wave be located 24 hours later?,Farther away to the west,Closer and to the East,Closer and to the west,In the same place,A,
719,You are maneuvering a vessel with a right-hand propeller. The rudder is amidships. The vessel will generally back __________.,to port,to starboard,in a straight directly astern,"downstream, the stern going in the direction of the current",A,
720,You are on a course of 050 degrees T and put the rudder right 20 degrees to starboard.  In which direction will the transfer be measured?,140deg. T,000deg. T,180deg. T,270deg. T,A,
721,You are on a single-screw vessel with a left-handed propeller making no way in the water. How will your vessel react when you apply right rudder?,Rudder alone has no effect on the vessel,Bow will kick to starboard,Rudder  will bring vessel to either port or starboard side,Vessel will move forward,A,
722,You are on a vessel underway proceeding at 10 knots. At 1800 you note a radar contact ahead at a range of 10 miles. At 1812 the contact is dead ahead at a range of 8 miles. What is the estimated speed of the contact?,Dead in the water,5 Knots,10 Knots,15 Knots,A,
723,"You are on a voyage from Valdez, Alaska, to the Panama Canal.  The distance from pilot to pilot is 4950 miles. The speed of advance is 15 knots.  You estimate a layover at San Francisco, CA of 36 hours  If you take departure at 0800 hours (ZD+10), on 29 October, what is your ETA (ZD+5) at Panama Canal?","1900, 13 November","0657, 18 November","0900, 13 November","1808, 13 November",A,
724,You are onboard a tanker ship in ballast and the two vessels are interlocked after collision. You have already made clear that all people are well taken care off and you will try to separate the two vessels. What should be your greatest concern?,That the separation may cause sparks that can possibly ignite the oil or any other flammable substance,The exact time of the collision.,"If the vessels separate, the other vessel may run away and you will be the only one to blame.",That you have your permission from the company to do so.,A,
725,You are operating a twin-screw vessel and lose your port engine. You continue to operate on your starboard engine only. Which action would you take to move your vessel ahead in a straight line?,Compensate with right rudder.,Compensate with left rudder.,Surge the starboard engine,Rudder amidships - no compensation is necessary on a twin-screw vessel.,A,
726,You are performing an overtaking maneuver in confined waters. What should you watch out for?,"The bow may sucked against, and stern may be pushed away from the other ship as you pass",That the other ship does not increase on full speed,That you keep your ship on full speed ,There is nothing special to watch out for,A,
727,"You are running parallel to the coast and take a running fix using bearings of the same object. If you are making less speed than used for the running fix, in relation to the position indicated by the fix, you will be:",closer to the coast,farther from the coast,on the track line ahead of the fix,on the track line behind the fix,A,
728,"You are steaming East in the North Atlantic in an extra-tropical cyclonic storm, and the wind is dead astern. According to the law of Buys Ballot, the center of low pressure lies to the:",north of you,east of you,west of you,south of you,A,
729,"You are steaming in heavy weather, the sea is high and the vessel is pounding and pitching heavily. What are the safe precaution you should do?",Reduce speed and put the sea on port tack,Reduce speed and put the sea on starboard tack,Full Speed in order to get off the area,Continue the voyage at sea speed,A,
730,You are supposed to anchor at open roadstead during heavy weather. The traffic density is heavy. The traffic control advises you that the weather might be worsened. What will be your choices?,Not to anchor and steam slowly at the open sea,Anchor the vessel by using both anchors,Proceed to the berth,Ignore the traffic control,A,
731,You are the duty officer on the bridge. A person is reported missing. Which of the following actions are to be considered as the correct maneuver in this situation?,Scharnow Turn,Williamson Turn,Direct Turn,Evinrude Turn,A,
732,You are the duty officer onboard one of the vessels involved in a collision. How will you act just after the collision?,Make sure your vessel and crew are safe and then offer your assistance to the other vessel.,Continue the voyage to your destination.,Call the Company Office.,Blame the other vessel about fault.,A,
733,"You are the master onboard at VLCC of 280.000 dwt, and have received a telex from the Cargo Terminal asking if your SPM moorings are according to the OCIMF standard. What fittings must you have to comply?",Two tongue-type/hinged bow stoppers with separate closed fairleads. Capacity 200 tons.,One tongue-type/hinged bow stopper with centre bow closed fairlead. Capacity 200 tons.,Two tongue-type/hinged bow stoppers with separate closed fairleads. Capacity 400 tons.,One tongue-type/hinged bow stopper with centre bow closed fairlead. Capacity 300 tons.,A,
734,You are underway in a vessel with a draft of 6.0 meters. You are in an area where the charted depth of the water is 7 fathoms. You should expect the depth of water beneath your keel to be approximately _____________.,6.80 Meters,5.30 Meters,7.0 Meters,4.50 Meters,A,
735,"You are using a radar in which your own ship is shown at the center, and the heading flash always points to 0⁰. If bearings are measured in relation to the flash, what type of bearings are produced?",Relative,Compass,True ,Magnetic,A,
736,"You desire to make good a true course of 007deg. True.  The variation is 5deg. East, deviation is 3deg. West and the gyro compass error is 2deg. East.  A Southwest by west wind produces a 2 degree leeway.  What is the course to steer per standard magnetic compass to make the true course good?",003deg. psc,005deg. psc,007deg. psc,000 psc,A,
737,"You have another ship overtaking you close abroad to starboard. You have 3 radar targets bearing 090 degrees relative at ranges of  0.5 mile, 1 mile and 1.5 miles. In this case, the unwanted echoes are called:",multiple echoes,spoking,indirect echoes,side-lobe echoes,A,
738,"You have another vessel on your port bow in clear weather, but with a moderate sea and swell. Having regard to Rule 7 of the Collision Rules, which of the following would normally give the greatest accuracy in determining if risk of collision exists?",observation of the compass bearing over a period of time,observation of the radar bearing and range every 3 minutes and 1 minute during fog,frequent radar bearings especially near river bends,frequent bearings taken relative to the ships structure,A,
739,"You have completed the magnetic compass adjustments on magnetic east and magnetic south. The vessel is now steady on magnetic west but the compass reads 266°. You should now adjust the compass until it reads:",268°,270°,274°,264°,A,
740,You have hand launched an inflatable liferaft. What should be one of your FIRST actions after all persons have boarded the liferaft?,Cut the sea painter and clear the vessel.,Inflate the liferaft floor.,Decide on food and water rations.,Open the equipment pack.,A,
741,You have just taken a satellite fix on your ship and from there the Master traced a new course line on the chart which is 130deg. True.  The variation for the locality is 10deg. West and the deviation is 6deg. East.  Find compass error and then solve for the compass course to steer.,C/E = 4deg. West   Compass Course = 134 psc,C/E = 16deg. East   Compass Course = 146 psc,C/E = 6deg. West   Compass Course = 143 psc,C/E = 4deg. East   Compass Course = 126 psc,A,
742,"You have the ""conn"" at the time the helmsman who is steering by hand reports that the rudder is not responding to the wheel.  What would be your FIRST action?",Shift the selector switch to the other steering pump,Signal the engine room to stop the engines,Call the engine room,Call the Master,A,
743,"You hear on the radiotelephone the word ""SECURITE"" spoken three times. This indicated that",a message about the safety of navigation will follow,a message of an urgent nature about the safety of a ship will follow,the sender is in distress and requests immediate assistance,you should secure your radiotelephone,A,
744,You heard the following signal on another vessel consisting of three strokes on the bell followed by the rapid ringing of the bell followed by three more strokes on the bell. This indicates that the vessel is __________.,Aground,At anchor,In danger,In distress,A,
745,"You may BEST turn a twin-screw vessel about, to the right, in a narrow channel by using __________.  ",port engine ahead and the starboard engine astern,both engines ahead and helm,one engine only ,both engines astern and use helm,A,
746,You should plot your dead reckoning position:,all options are correct,hourly,at every course change,at every speed change,A,
747,You take a bearing of 086deg. of a lighthouse. What bearing of another object would give the best fix?,000deg.,066deg.,112deg.,271deg.,A,
748,You want to send a DSC distress alert via the HF-band. You prefer the:,8 MHz band,12 MHz band,16 MHz band,18 MHz band,A,
749,Your course is 180°T what is the best to observe for vessel's latitude position?,When the azimuth of the body is 180°T,When the azimuth of the body is 090°T,When the azimuth of the body is 135°T,When the azimuth of the body is 225°T,A,
750,Your draft in a channel is 39.5 feet. What is the depth under keel in meters when you clear the bar at 15.3 meters shallow mark?,3.26 meters,4.5 meters,3.5 meters,4.0 meters,A,
751,"Your engine is going astern and you pick up sternway. The rudder is mid-ships, and you are operating on a single, right-handed fixed screw. How will your ship react?",She will most likely change heading to starboard,She will most likely change heading to port,She will most likely go straight astern ,The stern will be lifted to starboard,A,
752,"Your ship is dead in the water with the rudder amidships. As the right-handed screw starts to turn ahead, the bow will tend to go __________.   ",to port,to starboard ,in a straight directly astern,"downstream, the stern going in the direction of the current",A,
753,Your ship's initial speed is half ahead and your engine is put full astern. How will the stopping distance be compared to full speed?,It will be much shorter,It will be the same as full speed,It will be much longer,It will differ only slightly,A,
754,Your twin-screw vessel is moving astern with rudders amidships. The starboard screw suddenly stop turning. Your vessel's head will _______________.,go to port,go to starboard,remain stationary,suddenly drop down,A,
755,"Your vessel enters fog. You stop your engines, and the vessel is dead in the water. Which fog signal should you sound? ",two prolonged blasts every two minutes,one prolonged and two short blasts every two minutes,one prolonged blast every two minutes,three short blasts every two minutes,A,
756,Your vessel have been in collision and you are not sure if your vessel is sinking or not. How will you handle this situation?,Search for missing persons. Continue to monitor situation and prepare for abandonment in case it become necessary.,Wait and see how the situation is developing.,Leave the vessel and stay not closer than 5 nautical miles.,Make sure that the life boat has as much bunker as possible and make you course for nearest land.,A,
757,Your vessel is acting as the on scene commander during a distress rescue.  Various vessels are interfering the distress traffic on the VHF. What message would you use to stop them interfering with this traffic?,Seelonce mayday,Seelonce distress,Seelonce aye-aye,Seelonce SOS,A,
758,"Your vessel is backing on the starboard screw, and going ahead on the port screw. The bow will __________. ",swing to starboard,back on a straight line,move ahead on a straight line ,swing to port ,A,
759,Your vessel is conducting helicopter evacuation operations for an injured crew member. Which of the following statements is true concerning the hoisting line? ,Allow the line to touch the deck to discharge the static electricity,A tag line is required to be attached to the hoist cable for securing,Secure the graining line to the deck railings,As a safety measure wrap the line around the patient before attaching it to the basket,A,
760,Your vessel is going alongside a pier. Two tugs will assist at the mooring. Which position and how do you want to use the tugs?,Pushing on ship's flat side and make fast in the vessel for pulling if needed.,Fast FWD and AFT in centre lead.,Pushing on ship's flat side not made fast to be able to move in best position if needed.,"One made fast forward for pulling, one pushing aft.",A,
761,Your vessel is going alongside. One tug will assist at the mooring. Which position and how do you want to use the tug?,Make fast on the vessel's shoulder to push and pull.,Pushing at vessel's flat side where it is needed.,Make fast aft to pull when needed.,Make fast forward to pull when needed.,A,
762,"Your vessel is going full ahead as you start to slow down.  Assuming that there is no wind and current, where will the position of the ""pivot point"" be? ",It will move aft as the ship slows down,Same position as when the ship is on full ahead,It will move to the side of the centerline,"The ""pivot point"" will move to the stern",A,
763,"Your vessel is heading 040  T and the wind direction is 090  T. Your speed is about 14 knots, when a crew fell overboard on the windward side. Which action should you take? ",Immediately put the rudder over hard starboard,Immediately put the engines astern ,Commence Williamson turn,Commence U-turn,A,
764,Your vessel is making way through the water at a speed of 16 knots. Your vessel traveled 56 nautical miles in 3 hours 30 minutes. What current are you experiencing?,Current is slack,A head current of 0.5 knot,A head current of 1.5 knots,A following current of 2.2 knots,A,
