Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
214,"As per PMMRR '97, electrical power shall be made available for three hours on which of the following?","At the steering gear, if any",Every muster station,At the engine control room,At the bridge,A,
215,"As per PMMRR '97, the Administration referred to is:",Maritime Industry Authority,Philippine Ports Authority,MARINA,POEA,A,
216,"As per PMMRR, Tankers are considered:",class C,class A,class B,class D,A,
217,"As per Regulation 20 of Annex I of Marpol 73/78, Oil Record Book shall be provided to any ship other than oil tanker of:",400 GRT,150 GRT,350 GRT,450 GRT,A,
218,"As per Regulation 20 of Annex I of Marpol 73/78, Oil Record Book shall be provided to oil tanker of:",150 GT,100 GRT,120 GRT,300 GRT,A,
219,"As per Regulation 4 of Annex I, initial survey, periodical survey and a minimum of one intermediate survey are required to any oil tanker of ______ or more.",150 GRT,75 GRT,300 GRT,100 GRT,A,
220,"As per SOLAS Regulation 39, inflation of the liferaft shall take place within 3 minutes in ambient temperature of:", -30 deg C., -5 deg C., -25 deg C., -20 deg C.,A,
221,"As per SOLAS Regulation, the minimum Fuel supply for fast Rescue Boat shall last for:",4 hours,16 hours,8 hours,12 hours,A,
222,"As per SOLAS regulation, the sufficient capacity of operation of air breathing apparatus that must be on board shall have a duration for use at least:",30 minutes ,20 minutes,45 minutes,60 minutes,A,
223,"As per SOLAS, at a speed of 6 knots, the fuel aboard a survival crafts should last:",24 hours,48 hours,36 hours,60 hours,A,
224,"As per stipulated in the revised PMMRR, the ship's registration, documentation and licensing covers all types of motorized ships of domestic ownership and of more than:",3 gross tons,5 gross tons,8 gross tons,10 gross tons,A,
225,"As per UNCLOS, every State has the right to establish the breadth of its territorial sea up to a limit not exceeding how many nautical miles measured from baselines determined in accordance with this Convention?",12,6,3,24,A,
226,"As stipulated in PMMRR '97, the capacity of the required portable fire extinguishers shall not be less than:",9 liters,10 liters ,13.5 liters,14.5 liters,A,
227,"As stipulated in the amended SOLAS '74, the capacity of required portable fire extinguishers shall not be more than:",13.5 liters ,14.5 liters ,5.13 liters,5.14 liters,A,
228,Asthma is a distressing condition in which the muscles of the air passage go into spasm. How can the asthma attacks be triggered off?,"Nervous tension, allergy, or none obvious cause.",Not keeping the diet,Eating plenty Fatty foods,Eating salty foods,A,
229,"At all angles of inclination, the metacenter is:",vertically above the center of buoyancy,vertically above the center of gravity,at the intersection of the upright vertical centerline and the line of action of the buoyant force,at the geometric center of the underwater volume,A,
230,At any given draft the TPI of a vessel can be found by dividing the area of the water plane by:,420,402,240,204,A,
231,"At the required fire drill, all persons must report to their stations and demonstrate their ability to perform the duties assigned to them __________. ",in the Muster List (Station Bill),by the Coast Guard regulations,at the previous safety meeting,by the person conducting the drill,A,
232,"At what latest time shall doors, side scuttles, gangway doors, cargo- and coaling ports and other openings which are to be kept closed watertight at sea be closed at the start of the voyage?",Before leaving the port,Before entering open waters,After leaving the port,After entering open waters,A,
233,Basically onboard training programs must be conducted:,while the ship is at sea on a particular voyage,by the shore staff,by the staff and owner,while the ship is on dry dock,A,
234,Beams are transverse girders which provide support to:,decks,bulkhead,deck house structure,vertical foams,A,
235,"Before any machinery is put in operation, you should:","ventilate all compartments, see that the machinery is clean and there are no obstructions",just turn the key and start up,take for granted that there are no fuel leaks,assume there are no volatile fumes in the engine space,A,
236,"Before CPR is started, you should:",establish an open airway,treat any bleeding wounds,insure the victim is conscious,make the victim comfortable,A,
237,"Before personnel are lifted from a vessel in a personnel basket, the vessel should be:",directly under the boom,moving away from the boom,stopped dead in the water,tied to the boom,A,
238,"Before releasing the CO2 into the space, the alarm for a fixed CO2 system must sound for at least:",20 seconds,30 seconds,40 seconds,60 seconds,A,
239,"Before training is to be planned for, it is necessary to conduct a training needs analysis. What would be the best source of information to analyze before providing fire emergencyskillstraining?",Direct observation and reviewing critiques of the execution of shipboard fire and emergency drills performed by the existing crew.,Reviewing marine casualty and damage reports attributed to fires that have occurred on the vessel in the past.,Analyzing insurance premium costs relevant to fires that have occurred on the vessel in the past.,Analyzing statistical data collected relevant to fires that have occurred on the vessel in the past.,A,
240,"Before training is to be planned for, it is necessary to conduct a training needs analysis. What would be the best source of information to analyze before providing general safety training? ",Conduct a careful review of all accident and incident investigations.,Conduct a careful review of all marine casualty and damage reports filed.,Conduct a careful review of all manufacturer technical manuals for safety related instructions.,Conduct a careful review of all vessel procedures and policy manuals for safety related instructions.,A,
241,"Behavior of a leader that deals with long range plan, broad relationship and ideas.",Conceptual,Human,Goal oriented,Technical,A,
242,"Besides heat, fuel, and oxygen, which of the following is necessary for a fire to exist?",Chain reaction,Thermal action  ,Chemical occlusion,Pyrotechnical reaction,A,
243,"Between the side frames of a vessel, support for the deck beams is provided by:",stanchions,brackets,web frames,deck stringers,A,
244,Bleeding from a vein is:,dark red and has a steady flow,bright red and slow,bright red and spurting,dark red and spurting,A,
245,Body part that provides the force necessary to adopt a posture or make a movement is the:,muscles ,ligament,joints,skin,A,
246,Bunkering procedures on all ships so as to avoid pollution require that the OOW be informed prior starting bunkers.  The reason is:,to make sure that appropriate precautions are taken by the deck department,to ensure that bunkering flag is hoisted and the Oil Spill recovery team on stand by,to ensure that bunkering lights is hoisted and the Oil Spill recovery team on stand by in night time,all of the choices,A,
247,Buoyancy is a measure of the ship's:,ability to float,deadweight,freeboard,midships strength,A,
248,Changing rescuers while carrying out artificial respiration should be done:,without losing the rhythm of respiration,only with the help of two other people,by not stopping the respiration for more than 5 minutes,at ten-minute intervals,A,
249,Chemical burns are caused by the skin coming in contact with:,acids or alkalies,diesel oil,"acids, but not alkalies","alkalies, but not acids",A,
250,"Class ""C"" fire would most likely arise in the _________.",main switchboard,paint locker,paint,navigational system,A,
251,CO2 system extinguishes a fire in a protected space by ______.,depriving the fire of oxygen,cooling down the fire,reacting chemically with the fire,cooling down bulkheads,A,
252,"Coast Guard Regulations (46 CFR Part 34) state that any space containing charged CO2 cylinders, shall be properly ventilated to prevent a temperature higher than:",130°F (54.5°C),140°F (60.0°C),150°F (66.6°C),160°F (71.1°C),A,
253,Combustible gas indicators operate by drawing an air sample into the instrument:,over an electrically heated platinum filament,where it is mixed with nitrogen,where it is ignited by a sparking device,where its specific gravity is measured,A,
254,"Concerning a conventional mooring winch, what statement is true? ","A high capacity brake is required to hold a load approaching the breaking strength of the mooring line, but it is required to slip at a lower tension to avoid mooring line breakage.","A high capacity brake is required to hold a load equal to the breaking strength of the mooring line. For reasons of safety, no slippage of the brake is permitted.","A high capacity brake is required to hold a load exceeding the breaking strength of the mooring line. For reasons of safety, no slippage of the brake is permitted.","A low capacity brake is required to hold a load far below the breaking strength of the mooring line, but it is required to slip at a lower tension to avoid mooring line breakage.",A,
255,"Concerning the use of a stabilogauge, which of the following cannot be found?",Deadweight,Trim,Mean draft,Displacement,A,
256,"Continuous line of plating or shell planking, extending along ship's side from fore to aft:",strake,heave,girder ,floor,A,
257,Corresponding approximately to the angle of deck edge immersion.,Angle of maximum stability,Angle of maximum list,Angle of dangerous roll,Angle of dangerous list,A,
258,Cross-flooding fittings shall be operable from:,above the bulkhead deck,the bridge,the engine room,the section where the unsymmetrical flooding occurs,A,
259,Customarily a packaged cover to include a range of liability and physical loss and damage risks encountered by marina operators or owners.,Marina Insurance,Hull and Machinery,POEA Insurance,Company Insurance,A,
260,Deballasting a double bottom has what affect on KG?,KG is increased,KG is decreased,KG is not affected,KG increases at light drafts and decreases at deep drafts,A,
261,"Decreasing the free surfaces within a vessel, reduces the:",natural roll period,metacentric height,waterplane area,metacenter,A,
262,Drinking salt water will:,promote urine excretion,prevent seasickness,protect against heat cramps,be safe if mixed with fresh water,A,
263,"Due to exposure to heat fatigue, heat stroke and dehydration, what is the  maximum recommended effective temperature  for full  work load in enclosed space?  ",30.5°C ,27.5°C ,35.0°C ,29.0°C ,A,
264,"Due to the nature of a vessel's construction for a particular trade, it does not fully comply with the provisions of SOLAS. Where will this be indicated? ",On the Exemption Certificate,Nowhere; the vessel must comply to engage in international trade.,On the face of the Certificate of Inspection,On the reverse of the particular soles certificate affected,A,
265,"During heart compression conducted to an unconscious victim, the normal speed per second if two first-aiders are working together is:",1,1.5,2,2.5,A,
266,"During oil transfer operations, who is responsible for ensuring that the posted transfer procedures are followed?",The designated person in charge,The tankerman,The senior able seaman,The oiler,A,
267,"During the conduct of chest compression, the part of the victim's body wherein the first aider can determine if the victim's brain is receiving adequate oxygen and blood is:",heart,neck,nose,eye,A,
268,"During the heart compression conducted to an unconscious person, the  normal speed per second if two first aiders are working together is:",one compression,one and one half compressions,two compressions,two and one half compressions,A,
269,Each crewmember has an assigned firefighting station. This assignment is shown on the __________. ,muster list,fire fighting plan,certificate of inspection,shipping articles,A,
270,Each fire hydrant must have at least one spanner and at least one:,hose rack or reel,all purpose nozzle,foam applicator,pick axe,A,
271,Each part of the fire-main system located on an exposed deck must be:,protected against freezing,locked to prevent theft,numbered sequentially,pressurized at all times,A,
272,Emergency exits are provided for personnel's safe and quick escape from the engine room in case of fire. The emergency  exits are an item to be checked during the Safety Equipmentsurvey annually. The surveyor checks that the:,"emergency exits are properly marked, free from obstacles and that the closing devices are easy operable.",vessel is equipped with emergency exits.,vessel is safety requirement compliant  ,all of the choices,A,
273,Emulsification of oil will occur when mixed with:,water,gasoline,crude,petroleum,A,
274,Establishment and maintenance of procedure for identifying training which maybe required in support of the SMS and ensure that such training is provided for all personnel concerned is the responsibility of the:,company,master,owner,principal,A,
275,Every candidate for certification as Officer-In-Charge of a Navigational Watch on ships of 500 gross tonnage or more shall have an approved seagoing service of not less than 12 months as part of an approved training program which meets the requirements of the STCW Code section A-II/1 or otherwise have an approved seagoing service of not less than how many months?,36 Months,12 Months,24 Months,6 Months,A,
276,Exercise and drills should be conducted in a realistic manner against imaginary and realistic situation every:,month,two weeks,week,voyage,A,
277,Existing oil tankers satisfying the requirements for COW should only be designated to:,crude oil tanker,product tanker,VLCC,ULCC,A,
278,Familiarization training under STCW Section A-Vl/1 before being assigned to shipboard duties are applicable to:,all seafarers,management level officers only,operational level officers only,both management and operational level officers,A,
279,Fire fighting equipment requirements for a particular vessel may be found on the:,Certificate of Inspection,Certificate of Registry,Classification Certificate,Certificate of Seaworthiness,A,
280,Fire hose couplings:,"are made of bronze, brass, or soft alloy metals",should be painted red in order to identify hose lengths,are specially hardened to prevent crushing,should be greased frequently,A,
281,Fire hose should always be stowed at the fire station in the hose rack.,After the hose has been completely drained,With the nozzle in the solid stream position,So the hose can be connected quickly if a fire occurs,So the nozzle is protected by the hose,A,
282,"Fire protection for tankers of 20,000 dwt and upwards consist of different fixed systems and arrangements. Which of the following systems and arrangements do not correspond to the present regulations:",a fixed sprinkler system at the cargo manifold,a fixed foam system for cargo deck area,all tankers fitted with a fixed inert gas system shall be provided with a closed ullage system,a fixed inert gas system for all cargo tanks,A,
283,Fire protection regulations for towing vessels require any fuel line subject to internal head pressure from fuel in the tank to:,be fitted with a positive fuel shut-off valve located at the tank,have a shut-off valve at the top of the tank,have a gate valve easily accessible in the space where the tank is located,have a drain cock at the lowest point in the fuel line,A,
284,Firemans outfit shall have at least how many complete sets to be carried on board cargo vessel as per SOLAS Regulation?,2 sets,4 sets,1 sets,3 sets,A,
285,Fires are grouped into what categories?,"Class A, B, C, and D","Type 1, 2, 3, and 4","Combustible solids, liquids, and gases","Flammable solids, liquids, and gases",A,
286,"First aid treatment for battery acid or alkali burns, especially in the eyes, includes:",flushing with large amounts of fresh water and seeking medical attention ashore or by radio,wiping the affected area with a clean dry cloth and resting quietly for several hours,drying the acid or alkali with a rag followed by applying a light cream,all of the above may be acceptable treatments depending on the severity of the burn,A,
287,FIRST response you should do while you are fighting a fire in a smoke-filled compartment and one of your shipmates falls sustaining a severe laceration and ceases breathing is to __________.,remove him from the compartment,begin artificial respiration,treat for shock,concentration limits,A,
288,Foam is a very effective smothering agent and:,it provides cooling as a secondary effect,works well on extinguishing electrical fires,can be used to combat combustible metal fires,all of the choices,A,
289,"For an upright vessel, draft is the vertical distance between the keel and the:",waterline,freeboard deck,plimsoll mark,amidships section,A,
290,"For every 15 compressions, the safe quick lung inflations that must be delivered by a single rescuer to an unconscious victim without waiting for full exhalation of the victims breath is:",2,3,4,5,A,
291,For how long should a tank be ventilated when people are working inside?,For as long as people are working in the tank.,For at least 60 minutes.,For at least 30 minutes.,For at least 120 minutes.,A,
292,For how long time must the printout from the Oil Discharge Monitoring Equipment (ODME) be retained onboard?,3 years,5 years,4 years,2 years,A,
293,"For small first degree burns, the quickest method to relieve pain is to:",immerse the burn in cool water,administer aspirin,apply petroleum jelly,apply a bandage to exclude air,A,
294,"For the organization to operate efficiently, responsibility for specific tasks should be given to ___________  of the organization having ability and information to carry them out.",The lowest level  ,The staff ,The officer,The Manager,A,
295,"For the purpose of determining the capacity of CBT, which of the following tanks is allowed under MARPOL?",Segregated ballast tanks,Cargo tanks after washing,Clear ballast,Oily water,A,
296,For which type of vessel is sinkage most pronounced?,High block coefficient vessel,Cargo liner,Supply and anchor handling vessel,Vessel with a very wide beam compared to length,A,
297,For whom does the qualification requirements apply?,For personnel assigned to shipboard duties,For all seafarers except for persons employed for catering purposes,For all the crew. No one is exempted,For all the crew except for the galley people,A,
298,Forces within a vessel have caused a difference between the starboard and port drafts. This difference is called:,list,heel,trim,flotation,A,
299,Free communication will adversely affect transverse stability only when the flooded space is:,off-center,on the centerline,completely flooded,open to the sea above and below the waterline,A,
300,"From date of arrival, how many days maximum should a crew report to the company doctor for fast employment examination if repatriated for medical reasons so that the benefit will not be forfeited? ",3,4,7,10,A,
301,"Generally, what is used to inflate liferafts?",Non-toxic gas,Oxygen,Hydrogen,Helium,A,
302,GM cannot be used as an indicator of stability at all angles of inclination because:,M is not fixed at large angles,there is no M at large angles,G is not fixed at large angles,there is no G at large angles,A,
303,Governments are advised by the STCW Code to prohibit bridge team of any alcohol consumption at least _______ hours before going on watch.,4,3,5,6,A,
304,"He is an officer on board a vessel who gives responsibilities to his followers gradually so that in the future, they can stand on their own. The leadership style he is practicing is:",by example,bureaucrat,democrat,autocrat,A,
305,How do you treat the documents required by the QMS?,It shall be controlled,It shall be printed,It shall be justified,It shall be compiled,A,
306,How long must GMDSS Radio Logs be retained on board the ship in original form?,30 days,3 mos.,5 mos.,8 mos.,A,
307,How many  cubic centimeters (cc) maximum of blood can a normal injured person endure to lose without harmful effects or threats to the victims life?,500,600,700,800,A,
308,How many B-II fire extinguishers must be in the machinery space of a 175-foot long fishing vessel propelled by engines with 3200 brake horsepower?,4,5,2,3,A,
309,"How many fire extinguishers, and what type, are required on an unmanned oil barge during transfer operations, if the barge has no cargo pumps aboard?",One B-II,Two B-II,One B-V,Two A-II,A,
310,How many hand held distress flares are carried in each liferaft/lifeboat?,6,2,5,3,A,
311,How many liters of water per person must be carried inlifeboats on a tankship sailing a coastwise route?,Three,One,Two,None,A,
312,How many rocket parachute flares are carried in each lifeboat?,4,6,12,Nil,A,
313,How should the master ensure that the officer in charge of the watch know the location and operation of all navigational and safety equipment and can take account of the operating limitations of such equipment?,By having him demonstrate his ability,By asking if he can,By giving him some time to understand his job,By giving him some test to ensure he is capable of his job,A,
314,Human performance breakdowns resulting to accident are more likely a result of:,poor conscious choice or decisions,random error,lack of skills,lack of ability,A,
315,"If a crew member faints, you should:",lay him down with his head lower than his feet,check for pulse and breathing,let the patient rest in unconscious position,immediately execute Heimlich Maneuver,A,
316,If a fire fighting situation calls for low velocity fog you would:,attach a low-velocity fog applicator with the nozzle shut down,put the lever on an all-purpose fire nozzle all the way back ,order the engine room to reduce pressure on the fire pump,put the lever on an all-purpose fire nozzle all the way forward ,A,
317,"If a freely swinging load is suspended from a crane, the center of gravity acts as if it were located at the ________:",point of suspension,counterweight,at the centerline,pedestal,A,
318,"If a person gets battery acid in his eyes while filling a battery, he should FIRST wash his eyes with: ",water,boric acid solution,rain water,acid water solution,A,
319,"If a person is in a state of shock, which of the following is the correct thing for you to do?",Treat and reassure the casualty and stay with the person at all times,Be kind to the casualty and give anything to eat or drink at first opportunity,Give him a stimulant to get relax,Massage his/her hand until his shock is treated already,A,
320,"If a person is unconscious from electric shock, you should first remove him from the electrical source and then:",determine if he is breathing,administer ammonia smelling salts,check for serious burns on the body,massage vigorously to restore circulation,A,
321,"If a person was an unconscious victim of a severe electrical burn, you would check for breathing, pulse, and:","look for a second burn, which may have been caused by the current leaving the body",locate the nearest water source and flood the burn with water for five minutes,remove any charred skin from the burned area,apply alcohol to the burn area as a disinfectant,A,
322,"If a powdered aluminum fire is being fought, the correct extinguishing agent would be:",dry powder,water fog,CO2,steam,A,
323,"If a vessel is sagging, which kind of stress is placed on the sheer strake?",Compression,Racking,Tension,Thrust,A,
324,"If a vessel is stationary and in sagging condition, the Z-Strake is under:",Compression Stress,Racking Stress,Shear Stress,Tensile Stress,A,
325,"If an electrical fire has been extinguished with a dry chemical agent, there is a possibility of the __________.",electrical relays being rendered inoperative,chemical crystals suffocating the fire fighter,take his blood pressure,cooling the metal below its ignition temperature,A,
326,"If an inflatableliferaftinflates upside down, you can right it by __________.","standing on the CO2 bottle, holding the bottom straps, and throwing your weight backwards",getting at least three or four men to push down on the side containing the CO2 cylinder,pushing up on one side,doing nothing; it will right itself after the canopy supports inflate,A,
327,"If deck machinery is expected to be idle for an extended period of time, what should be done? ",Energize space heaters to prevent the condensation of moisture,Have electrical safety gloves available in case of electrical shock before running,Perform a 'high pot' test to determine the condition of the insulation,Water wash the motor and controller to remove any salt that may interfere with smooth operation,A,
328,"If Mouth - to - Mouth (M-T-M) ventilation by itself is unsuccessful and the casualty's heart stops, or has stopped beating, you  must perform External Chest Compression (ECC) in  conjunction with M-T-M. What is the rhythm when performing  M-T-M in combination?",15 compressions followed by 2 full ventilations. ,10 compressions followed by 3 full ventilations,15 compressions followed by 3 full ventilations,10 compressions followed by 2 full ventilations,A,
329,"If some of the passengers are disabled, i.e. using wheelchair, cane, blind etc. What precaution should the crew take?","All passengers that will require some form for assistance in case of evacuation, etc. must be registered, so there can be a crew sent to assist them if needed","Passenger with some form of disability must travel with accompany, and live in same cabin or next door",Passengers with disability will hire some crew to accompany them,Passengers with disability will be provided with some form of assistance if needed,A,
330,"If the buoyant force on ships hull is equal to or greater than the displacement tonnage, the ships will:",float,sink,be down by the head,require ballast ,A,
331,"If the empty weight of a B-II, portable, CO2, fire extinguisher bottle is 34 pounds, the cylinder must be recharged if the gross weight decreases to:",47 lbs ,48 lbs ,49 lbs ,50 lbs,A,
332,"If the metacentric height is small, a vessel will:",be tender,have a quick and rapid motion,be stiff,have large angles of roll,A,
333,"If the ship is supported amidship by the crest of a wave, the vessel is subjected to which of the following stresses?",Hogging stresses,Yawing stresses,Sagging stresses,Pitch rolling,A,
334,"If the ship takes a sudden severe list or trim from an unknown cause, the first action is to:",determine the cause before taking countermeasures,assume the shift is due to off center loading,counterflood on the side opposite the list or trim,assume the cause is environmental forces,A,
335,"If the vertical center of gravity (VCG) of a ship rises, the righting arm (GZ) for the various angles of inclination will:",decrease,increase,remain unchanged,be changed by the amount of GG' x cosine of the angle,A,
336,"If there is an accidental discharge of oil from a tanker, which of these items will NOT have to be noted in the Oil Record Book?",The name of the person responsible for the oil discharge,The time the discharge occurred,Officer on watch on the operation,Cargo name,A,
337,"If there is fire in a ships service generator, immediately you should __________.",turn on the fixed CO2 extinguisher,use a dry chemical fire extinguisher,cool the generator with the ventilators,secure the generator to extinguish the fire,A,
338,"If weight hangs freely from a point of a ship, its center of gravity should lie:",below the point,above the point,at the center,upward ,A,
339,"If weight is added at the keel, the ships center of gravity will:",move down,move up,merge with the metacenter,pass through the center of flotation,A,
340,"If welding compartment on ships bulkhead, the fire watch is situated ________.",on the other side of the bulkhead being welded,in the same compartment,no fire watch needed,cooling down bulkheads,A,
341,"If you are assigned to rescue a victim inside an enclosed space such as inside a fore peak tank, the safe and effective apparatus to be worn _________.","approved lights, lifeline and breathing apparatus",approved lights and breathing apparatus,lifeline and approved lights,lifeline and breathing apparatus,A,
342,"If you are the officer on watch, before any crew enters a close or confined space, make sure that oxygen in that space is not less than:",21%,20%,19%,70%,A,
343,"If you observe any situation which presents a safety or pollution hazard during the fuel transfer operations, which action should you take FIRST? ",Shut down the operation.,Close the valves at the manifold.,Sound the general alarm.,Notify the person in charge of the shore facility.,A,
344,"If you use chemicals for cleaning up an oil-spill on the water, what would the chemicals do?",Disperse or dissolve the oil into the water,Absorb the oil for easy removal,Remove the oil from the water,Contain the oil within a small area,A,
345,If you were put in charge of a fire team what is the minimum number of men wearing BA sets that you would allow to enter a smoke filled compartment?,2 men ,3 men,4 men,1 men,A,
346,"If your ship is in collision in the waters of a foreign nation, which of the following is NOT a legal responsibility for the MASTER?",Go as soon as possible to the nearest appropriate port to report to the authorities,Enter a witnessed statement in the official log book,Inform the other vessel of the name of your ship and other details,"Render assistance to the other ship, if practicable",A,
347,"In a cartridge-operated dry chemical type fire extinguisher, when the CO2 cartridge is activated, the dry chemical is released from the extinguisher __________.",with the squeeze-grip on/off nozzle at the end of the hose,with the squeeze-grip trigger on top of the container,by squeezing the control valve carrying handle,by turning the activating handle on the bottom of the container,A,
348,"In a fixed CO2 fire extinguishing system where pressure from pilot cylinders is used to release the CO2 from the main bank of cylinders, the number of required pilot cylinders shall be at least:",2,3,4,6,A,
349,"In a tank or compartment that is not gas free, the only portable electric equipment permitted is a lamp that is:",approved explosion proof  ,battery operated,self-contained,all of these choices,A,
350,"In accordance with MARPOL 73/78 Annex V, the prohibition of the discharge of all garbage applies to a vessel operating within how many nautical miles of the nearest land? ",3 nautical miles,12 nautical miles,25 nautical miles,200 nautical miles,A,
351,"In accordance with MARPOL 73/78 Annex VI, in the absence of an exhaust gas cleaning system, what is the maximum allowable sulphur content for a fuel to be burned while the ship is operating in an emissions control area? ",1.50%,3.00%,4.50%,6.00%,A,
352,"In accordance with MARPOL 73/78 Annex VI, the nitrous oxide (NOx) emissions associated with certain diesel engines are required to operate under certain acceptable limits. To which of the listed engine applications would the NOx emission regulations apply? ",Diesel engines with a power output of more than 130kW.,Diesel engines with a power output not greater than 130kW.,Diesel engines powering emergency diesel-generator sets.,Diesel engines powering lifeboats.,A,
353,"In accordance with the federal regulation in 33CFR Subchapter O, which discharge of oil or oily mixture to sea is permissible?",When the discharge is necessary for the purpose of securing the safety of a ship or saving life at sea.,When the oil content of the effluent without dilution is less than 100 parts per million.,When the oil or oily mixture originates from tanker cargo pump room bilges.,When the oil or oily mixture is mixed with tanker cargo residues.,A,
354,"In all but the most severe cases, bleeding from a wound should be controlled by: ",applying direct pressure to the wound,submerging the wound in lukewarm water,apply a tourniquet to prevent the bleeding from restarting.,cooling the wound with ice,A,
355,"In an open lifeboat, the lifeboat compass is usually:",placed in a fixed bracket when being used,clamped to any position convenient for the coxswain to see it,permanently mounted on the lifeboat's centerline,mounted in the center of the boat to eliminate deviation,A,
356,"In cargo hold bilges, what do you call for the holes in the floor bilge water flows for suction?",Limber holes,Tanks holes, Rise hole,Suction holes,A,
357,"In carrying out a ""Lifeboat seating space test"" the number of persons for which the lifeboat and be properly seated within a period of how many minutes in the case of a lifeboat intended for a cargo ship?",3 minutes,12 minutes,15 Minutes,20 Minutes,A,
358,In carrying out a “Lifeboat Seating Space Test” the number of the persons for which the  lifeboat is to be approved should be able to board the lifeboat and be properly seated within  a period of how many minutes in the case of a lifeboat intended for a cargo ship?,3 minutes,12 minutes,9 minutes,6 minutes,A,
359,"In chartering, the charterer is liable to pay for whatever amount due to the space not fully occupied by cargo if the vessel is placed on a deadweight charter called:",deadfreight,deadweight freight,live weight freight,freight vessel,A,
360,In fighting a fire with portable dry chemical extinguisher you should always _______.,direct the stream of chemical toward the base of the fire,attack the fire from the leeward side,limit the amount of cable on the drum,increase survival time in the water,A,
361,"In firefighting, when approaching a fire from windward, you should shield the firefighters from the fire by using ______.",Low-velocity fog,High-velocity fog,Foam spray,A straight stream of water,A,
362,"In MARPOL 73/78 Annex I, specific machinery space operations onboard all ships of 400 gross tons or above other than a tanker must be documented in an Oil Record Book. Which of the listed machinery space operations must be documented in the Oil Record Book? ",Discharge of waste oil or sludge to a reception facility.,Discharge of ballast from double-bottom sea water ballast tanks.,Discharge overboard of bilge water that has accumulated in the dry cargo holds.,Taking on ballast water into double-bottom sea water ballast tanks.,A,
363,"In Marpol 73/78, a tank used for the collection and storage of sewage of the ship is called:",holding tank,slop tank,sludge tank,ballast tank,A,
364,"In Marpol Annex II, what is soluble with water in all proportions at washwater temperatures?",Miscible,Solidifying,Aqueous,Liquefying,A,
365,"In order to have an effective security plan or measures to take in the event of pirate attacks, which of the following persons or groups should be informed?",Ships crew,Competent person in the Company,Ships in the vicinity,Ships agent in the area,A,
366,"In order to maintain safe working conditions on board the vessel, every crewmember should do the following, EXCEPT:",be attentive to all what is happening in the surroundings,familiarize himself with the emergency plan,always keep in mind the safety of yourself,familiarize the vessel emergency escape and equipments onboard,A,
367,In order to minimized distortion due to shrinkage in a welding work you should _________.,"use restraining forces such as clamps, jigs and fixtures",use intermittent welds rather than continuous welds wherever possible,make fewer passes with larger electrodes as opposed to a great number of passes with small electrodes,use the minimum expected amount of electrodes ,A,
368,"In order to prevent galvanic corrosion, an aluminum boat must be insulated from the davits and gripes. Which of the following is acceptable as an insulator?",Hard rubber,Canvas,Leather,Sponge rubber,A,
369,"In plugging submerged holes, rags, wedges and other materials should be used in conjunction with plugs to:",reduce the water leaking around the plugs,reduce the possibility of stress fractures,prevent progressive flooding,reduce the water pressure on the hull,A,
370,"In putting out a fire in a paint locker, what is the most effective fire extinguishing agent to be used?",Carbon dioxide,Chemical foam,Dry chemical,Light water,A,
371,"In recording in the Oil Record Book of your ship as to Accidental Discharge or escape of oil from your ship, the approximate quantity and type of oil is to be entered. Quantity should be expressly expressed. Which of the following terms is not acceptable?",Liters,Gallons,Tons,Barrels,A,
372,"In reference to MARPOL 73/78 Annex V, the prohibition of the discharge of ground paper products, rags, glass, metal, bottles, and crockery applies to a vessel operating within how many nautical miles of the nearest land? ",3 nautical miles,12 nautical miles,25 nautical miles,200 nautical miles,A,
373,"In reference to SOLAS, at least  how many means of independent communications shall be provided for the bridge and the engine control room?",2,3,4,5,A,
374,"In reviving a person who has been overcome by gas fumes, which of the following treatments would you avoid using? ",Giving stimulants,Prompt removal of the patient from the suffocating atmosphere,"Determine the need for, and administer CPR if appropriate",Keeping him warm and comfortable,A,
375,"In risk assessment, what do you call this type of risks that are usually Static in nature, risk based decisions are normally made by seafarers?",Pure Risk,Speculative Risk,Product Risk,Market Risk,A,
376,"In risk assessment, what do you call this type of risks that risk based decisions are normally taken by the Company and are usually dynamic in nature?",Speculative Risk,Pure Risk,Major Risk,Limited Risk,A,
377,"In ship construction, the frames spacing will be:",reduced at the bow and stern,increase in length at the beams,increase girder bottom plate,to have enough strength at frames,A,
378,"In ship construction, the hull frame members that run athwartship are called __________.",transverse,deck ,stringer,longitudinal,A,
379,"In ship construction, which strength members act to support the decks?",Longitudinals,Pillars , Girders,Bulkheads,A,
380,"In ships, the hull structure members which run athwarship are:",deck beams,stringer ,girders,breast hooks,A,
381,"In the absence of external forces, the center of buoyancy of an inclined vessel is vertically aligned directly below the:",center of gravity,center of the waterplane area,center of floatation,amidship station,A,
382,"In the event of a collision, vessel may not lose watertight integrity if you _____________.",keep all openings secured, remove the sounding cap from a damaged tank,loosen the dogs on a manhole cover  ,remove the gasket from a watertight door,A,
383,"In the revised ISM Code, an identifiable deviation that poses a serious threat to the safety of personnel or the ship or a serious risk to the environment that requires immediate corrective action or the lack of effective and systematic implementation of a requirement of this Code is a:",major non-conformity,major non-compliance,minor non-conformity,minor non-compliance,A,
