Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
487,Using the “house fall” method of cargo handling ________., All of the choices, Provide a steady spotting area under a permanently installed block on the dock,Lets you work a second deck platform on a pier with a second deck, Eliminates the possibility of fouling the head of your dock boom against the face of the dock shed,A,
488,"Vessel 6,000 tonnes displacement is floating in fresh water and has a deep tank (10m x 15m x 6m) which is undivided and is partly filled with nut oil of relative density 0.92. Find the virtual loss of GM due to the free surface?",0.431 meter,0.444 meter,0.468 meter,0.422 meter,A,
489,"Vessel displacing 740 tons and measures 141 ft. long breadth 34 ft. What is the reduction in GM due to free surface if the hold below measuring 41 ft. long, 30 ft. wide, and 9 ft. deep is filled 2.5 ft. of water each foot of water weighs 35.1 tons.",3.18 ft.,1.75 ft.,2.14 ft.,2.96 ft.,A,
490,"Vessel of 7,800 tonnes displacement has a 15m x 13m x 20m center tank partially filled with oil having a relative density of 0.87. Find the virtual loss of GM that will be caused by this slack tank when the vessel rolls at sea?",0.29 meter,0.46 meter,0.52 meter,0.09 meter,A,
491,vessels bottom will be subjected to tension when weight is concentrated _____.,Amidship, Aft,At both ends,Forward,A,
492,"Vessel's FWA is 160 mms and she is floating in dock water of density 1,012 kgs./m³. Find the change in draft when she passes from dock water to salt water?",83.2 mms,85.2 mms,78.6 mms,80.5 mms,A,
493,Weight concentration in which area will cause a vessels double bottom to be subjected to tension stresses?, Amidships,At both ends,Forward,Aft,A,
494,What are fitted to the ends of the suction bilge lines which have perforations not more than 10 mm diameter?,strum boxes,screen boxes,strainer ,non-return valves,A,
495,What are the materials that undergo some form of purification process by physical separation of undesired ingredients?,Concentrates, iron ore,copper,natural ores,A,
496,What can be expected on freight vessel near the end of a voyage when excessive F.O. and water has been used out of double bottoms.,List caused by negative metacentric height,Trim by the head as most tanks are locate aft,List caused by lowering the center of gravity ,List caused by raising gravity due to weight discharge at the DBT,A,
497,What can cause a lack of oxygen in a chain locker?,Oxidation,Osmosis,Evaporation,Absorption,A,
498,"What connections containers are interconnected horizontally and vertically using single, double and possibly quadruple stacking cones and top tiers?",Bridge fittings,Cargo battens,Cells,Bay,A,
499,What do you call a gauging device in the Code for the Construction and Equipment of the Ships carrying dangerous chemical in bulk which does not  penetrate the tank shell and is independent  of the tank?,indirect device, restricted device,open device,closed,A,
500,"What does a ""Block stowage"" mean?",Stowing all the cargo for a port in the same area,Using separation cloths to separate different kinds of cargo,Having the cargo on pallets,Using port marks on the cargo,A,
501,What does a bridge fitting serve when lashing containers?,Restrain the containers against horizontal motion,Ties a container to the deck,Ties to the container to the container below it,Restrain racking loads,A,
502,What does a jib refer to on a crane?,Boom,Topping lift,Control cab,Slewing control,A,
503,"What does it mean to ""shore up"" the main deck for the stowage of deck cargo?",Strengthen the main deck by placing pillars underneath it in the tween-decks,Package the cargo in wooden crates so it will not damage the deck,Distribute the weight of the cargo by placing fore-and-aft planks on the main deck,Weld pad eyes on deck in proper position to secure the cargo,A,
504,"What effect does flooding a compartment have on the effective water plane of a vessel? I. The moment of inertia of the water plane is reduced II. The total effective water plane area is reduced ", Either I or II,Neither I or II,I ,II,A,
505,What equipment is used to prevent grain in a slack grain hatch from reaching an angle of repose?,shifting boards,side battens,level dunnage with wire straps,level dunnage with compatible cargo,A,
506,What factor has the greatest effect on the value of free surface correction?, Width of the tank,Displacement of the tank,Length of the tank,Specific gravity of the liquid,A,
507,What information should be supplied to a vessel prior to carrying a cargo of dangerous liquid chemical in bulk?,full description of the physical and chemical properties including reactivity, bill of lading,dangerous cargo manifest,all choices,A,
508,"What is correct regarding the relationship between ""gravity"" and ""GZ""?","as gravity rises, GZ becomes smaller","as gravity rises, GZ becomes bigger","as GZ becomes bigger, vessel becomes less stable",gravity must be 15 cm from bottom to have large GZ,A,
509,What is meant by the term “two blocked”., The bottom block touches the top block.,There are turns in the fall,A form of temporary eye (loop) at the end of the line,You have two blocks,A,
510,What is NOT a securing system used on a containership?,Stacking system,Buttress system,Lashing system,Locking system,A,
511,What is NOT an advantage of containership operations over conventional break-bulk operations? ,Flexibility of operation,Reduction of cargo damage,Lower stevedoring costs,Greater operational safety,A,
512,What is NOT an advantage of double bottom ships?,They are less expensive to construct because of increased access space.,The center of gravity of a loaded bulk cargo ship may be raised to produce a more comfortable roll.,The tank top forms a second skin for the vessel.,The floors and longitudinals distribute the upward push of the water on the ship's bottom.,A,
513,What is not an advantage of double bottom vessels?,They are less expensive to construct due increase access space,The tank top forms a second skin for the vessel,The center of gravity of a loaded bulk cargo may be raised to produced a more comfortable roll,The floors and longitudinals distribute the upwards push of the water on the vessels bottom,A,
514,What is NOT an advantage of filler cargo?,Overcarriage is reduced or eliminated.,Dunnage costs are reduced.,Voids in the cargo stow are filled.,The hold space has maximum utilization.,A,
515,What is NOT an advantage of ship construction method using welded butt joints in the shell plating?,Reduce plate stresses,Reduce weight,Reduce frictional resistance,Keeps practically 100% of tensile strength at the joint,A,
516,What is required to be stenciled at the heel of a cargo boom?,Safe working load,Maximum load when doubled up, Maximum angle of elevation permitted,Date of quadrennial test,A,
517,What is result of dividing the shearing force at that section by the cross sectional area of that section?,mean shearing stress,shearing modulus radio,shearing force cross sectional equation,factor of shearing force,A,
518,What is the advantage of transporting gas under refrigeration?,it reduces its volume,less product per volume ,it increases its volume,it freezes while in transit,A,
519,"What is the bodily sinkage of a box-shaped vessel 80m x 14m floating at an even keel draft of 4 meters, if an empty midship DB tank is bilged 16m x 14m x 2m?", 84m,85m,86m,87m,A,
520,What is the definition of transverse metacenter?, The distance between the actual center of gravity and the maximum center of gravity that will allow a positive stability.,The sum of the center of buoyancy and center of gravity.,The point to which G may rise and still permit the vessel to possess positive stability, The transverse shift of the center of buoyancy as a ship rolls,A,
521,"What is the density of the water if the TPC and waterplane plane area are 15.075 tonnes and 1,500 m2, respectively?",1.005 tonnes/ m3,1.025 tonnes/ m3,1.003 tonnes/ m3,1.006 tonnes/ m3,A,
522,What is the difference between the static and dynamic forces acting on the ships hull?," Static forces are set up by the cargo and the sea, and dynamic forces are set up by the sea wave action"," Static forces are set up by the cargo only, and dynamic forces are set up by the sea motion","Static forces are set up by sea motion, and dynamic forces are set up by the cargo and the moving sea","Static forces are set up by the sea and cargo, and dynamic forces are set up by the movement of the cargo at sea.",A,
523,What is the equivalent of a “Barrel” as a unit of liquid measurement?, 42 U.S. gallons at 60 deg. Fahrenheit, 36 U.S. gallons at 15 deg. Fahrenheit, 40 U.S. gallons at 60 deg. Fahrenheit, 48 U.S. gallons at 15 deg. Fahrenheit,A,
524,"What is the free surface correction for ballast tank measuring 25 ft. wide and 40 ft. long. The vessel's displacement is 6,000 tons.",0.25 ft.,0.28 ft.,0.36 ft.,0.46 ft.,A,
525,What is the height of the center of buoyancy above the keel of   a  boxed-shaped vessel  60 m X 10 m with an even keel draft of any  4 m in SW?,2.0 m,2.1 m,2.3 m,2.2 m,A,
526,"What is the LNG cargo term ""rollover"" used to describe?","When two or more stratified layers of different density LNG in the same tank suddenly mix together, causing a rapid increase in boil-off vapors",Vapor pockets forming at the bottom of a half-filled tank,Moving LNG from one tank to another,Custody transfer at the terminal,A,
527,What is the main hydrocarbon gas that makes up LNG?,methane, nitrogen,butane, nitrous oxide,A,
528,What is the maximum length of timber shoring when securing a container?, 2 meters, 1 meter, 3 meters, 4 meters,A,
529,What is the meaning of ESD system?, Emergency shutdown system,Emergency stop and disconnect system, Emergency shut and disconnect system,Emergency separate and detach system,A,
530,What is the meaning of the term tare weight?,Weight of a container,Weight of the contents of a container,Total weight of a container and contents,Pounds of force necessary to damage a container,A,
531,What is the mechanical advantage of a threefold purchase when rove to disadvantage and neglecting friction? ,6,7,3,4,A,
532,What is the purpose of cant frames in steel vessels?, To provide strength to shell plating of a cylindrical tank,To support the overhang of the stern,To support the plating of a cylindrical tank,To add strength to the deck beams which support the weather decks,A,
533,"What is the reduction in metacentric height (GGo) due to free surface when a tank 60 feet long and 30 feet wide is partially filled with salt water, and is fitted with a centerline bulkhead?  (The vessel  has a displacement of 10,000 tons)",0.1 foot,0.8 foot,1.0 foot,1.2 feet,A,
534,What is the tendency of gasoline fumes?,settle near the bottom of the bilge,settle on the level of the bilge by mixing with air,settle near the top of the bilge,disperse in the atmosphere,A,
535,What is the TPC of a box-shaped vessel 114 m x 26.2 m x 10 m floating at an even keel draft of 5.16 meters in SW?,30.61,30.51,30.81,30.71,A,
536,What is the TPC of a box-shaped vessel 80m x 14m floating is SW at an even keel draft of 4m?,11.48,11.58,11.68,11.78,A,
537,What is the TPC of a box-shaped vessel: 120m x 15m x 10m floating at an even keel draft of 4.5m?,18.45 tons / cm,18.35 tons / cm,18.25 tons / cm,18.15 tons / cm,A,
538,"What is the volume of the oil cargo weighing 14,500 metric tonnes if density is  0.87?","16,667 m3","16,667 ft3","12,615 m3","12,615 mt",A,
539,What is/are the precaution/s to be considered when loading and stowing bulk cargoes having an angle of repose more than 35 degrees?,should be trimmed reasonably well,should ensure there is no slack tanks,hold should be fitted with wooden vents,all of choices,A,
540,"What should be done after putting down the ramp on a Ro-Ro vessel, prior to loading or discharging cargo?",Turn on ventilation for cargo holds.,Call out the deck department for all hands.,Turn on red cargo light.,Notify the boarding agent,A,
541,What should you use when lifting cargo pallets in the hold?,A bridle with spreaders,Cargo nets,Container brackets to support ,A cargo hook (i.e. “breakout hook”),A,
542,What special precaution/s should be taken when loading and carrying concentrates?,Obtain written cargo information from the shipper.,Get certificate of stowage factor from the shipper., Secure mates receipt,All choices,A,
543,What term indicated the inward curvature of the ships hull above the waterline?,tumble home,flare,camber,sheer,A,
544,What term indicates a curvature of the decks in a longitudinal direction?,Sheer,Deadrise,Flare,Camber,A,
545,What term indicates the immersed body of the vessel forward of the parallel mid-body?,entrance,run,flare,sheer,A,
546,"What type of plating is used for bulkheads, particularly in tankers, bulk carriers and tank spaces of other ships?",corrugated,vertical wedged ,stiffened flattened plate,monoblock reinforced steel plating,A,
547,What type of rudder when 20% of the area is forward of the turning axis?,semi-balanced rudder,balanced rudder,unbalanced rudder,thomsom rudder,A,
548,"What will constantly move as the ship pitches, rolls and heaves?",center of buoyancy,center of gravity ,metacentric height,metacentric radius,A,
549,What will happen to the ballast water when the vessel is in sub-freezing temperature?,Ballast water become frozen,Discharge ballast water as soon as possible,The ballast water will not freeze,The 50% ballast water will freeze,A,
550,What will NOT increase friction of a liquid flowing in a pipe and cause a loss of suction head?,slowing the pumping rate,backing rings for pipe welds,pipeline valves,bends in the piping,A,
551,What will you observe when a vessel is taking ballast water with non equal flow of ballast in?,She will be listing in one side,She will automatically transfer the ballast to other tanks,She will automatically stop ballast.,One of the ballast valve is defective,A,
552,What would be her new mean draft if 300 tons of cargo has been loaded. Her present mean draft of 6.25 meters TPC is 12.0?,6.50 meters,6.75 meters,6.15 meters,6.25 meters,A,
553,"When a bending moment tends to cause the downward bending of the beam, it is considered ____________",negative bending moment,positive bending moment,hogging bending moment,convex upward bending,A,
554,"When a ship sags, _____ stresses are set up in the deck.",compressive, tensile bending, bending,sheering,A,
555,"When a tanker is partially loaded, gas formation in a cargo tanks is due to:",surface area,loading, draft,compressed,A,
556,"When a two-leg sling attached to one hoist line is used to lift a load, a sling of 40 feet in length is better than one of 30 feet in length because _________.",tension in the sling legs is less,load can be lifted higher,sling will be easier to attach,tension in the sling legs is more,A,
557,"When a vessel goes into dry-dock, the information on the location of the blocks is contained in the:",ships docking plan,docking diagram,shell expansion,block diagram,A,
558,"When a vessel is heeled by an external force in still water to a small angle of inclination, it returns to upright when the external force is removed.",stable condition,unstable condition,neutral condition,angle of loll condition,A,
559,"When a vessel is heeled, due to a shift of cargo, the area below the heeling arm curve represents:",Lost stability,Positive stability,Negative stability,Neutral stability,A,
560,"When a weight is shifted down, which of the following takes place?", metacentric height increase,the height of CG increases,the height of CB increases,metacentric height decreases,A,
561,When air inside the cargo hold is at its dew point it means it is at its _______________.,highest relative humidity,lowest absolute humidity,lowest relative humidity,highest absolute humidity,A,
562,"When discharging an oil cargo, the first consideration is to ____________.",get the bow up, discharge from amidships first,discharge from the center tanks first,discharge from the wings first,A,
563,"When goods in different compatibility groups are transported on deck, they should not be stowed less than _________.", 6 meters apart, 3 meters apart,12 meters apart,24 meters apart,A,
564,"When loading “on deck cargoes”, what material should NOT be used?",Fiber ropes,Steel chain,Wire ropes,Steel strapping,A,
565,"When loading a container vessel, the operation is basically that of vertical loading. The important factors to be considered when loading containers are the port of discharge, and which of the following?","Weight, and refrigeration","Available dunnage, and chocking","Sweat, and weight","Crushability, and inherent vice",A,
566,When must the Master of a vessel log the position of load line marks in relation to the surface of the water in the official logbook?,Prior to getting underway,Once a day,Only when in fresh or brackish water,Only after a heavy weather condition,A,
567,"When planning the loading of a VLCC, what is the most important consideration?",Limits of the bending moments, Draft and trim,Rate of discharging,Rate of loading,A,
568,"When solid bulk cargoes such as grain are loaded they are usually poured into the ship's hold, it will form into a conical shaped pile.",angle of repose,conical angle,sloping angle,angle of loll,A,
569,"When stowing bagged cargo, you wish to maintain a vertical wall or bulkhead as the stowage progresses. The bulkhead extends from one side of the vessel to the other and exceeds one section forward of the square, from the lower holds up to the tween decks. Stability of the bulkhead will be maintained by ______.",Alternating the stow with one fore and aft and the next tier athwartship., Stowing bags athwartship., Stowing bags fore and aft., Stowing the bags on edge along the bulkhead being built.,A,
570,"When the height of the metacenter is less than the height of the center of gravity, a vessel has what type of stability?",Negative,Positive,Neutral,Stable,A,
571,"When the weight is shifted down, which of the following takes place?",metacentric height,the height of CG increase,the height of CB increase,Metacentric decreases,A,
572,"When using a multiple part wire rope, tackle such as purchase on a jumbo boom, the greatest load occurs on:",The hauling part because it absorbs the frictional lose of all sheave,The parts of the movable block," All parts, dividing the load",The standing part because it is directly connected to the weight,A,
573,"When ventilation takes place, accommodation and work areas should be checked for gas concentrations and if they ever exceed the ______ for the fumigant, the space must be evacuated.",threshold limit value,upper explosive limit,explosive range,lower explosive limit,A,
574,Which action will cause the center of gravity to rise due to free surface effect?,vessel sourced its fuel from a full tank fuel oil tank while in transit,The vessel's is draft is decreased exposing more surface are to the wind and current,The vessel's draft increases this increasing the vessel's water plane area,The vessel is trimmed by the stern,A,
575,Which characteristic is an advantage of a butterfly valve as compared to a gate valve?,easier operation,less chance of leaks,precise adjustment of cargo flow,faster rate of cargo flow,A,
576,Which condition would NOT entitle a vessel to carry goods on deck?,The cargo will damage other cargoes by tainting or contamination,Deck stowage is customary in the trade (i.e. timber cargoes),The shipper agrees to deck stowage,Deck stowage is required by law or regulation,A,
577,Which entry on a dangerous cargo manifest concerning the classification of a cargo is not correct?,Division 3.1,Class 8, Division 2.3,All choices are incorrect,A,
578,Which factor does NOT affect the required freeboard of a cargo vessel?,Condition of trim in normal operation.,Geographic zone of operation., Season of the year.,Density of water.,A,
579,Which factor is most important in preventing sweat damage within a cargo hold?, Dew point of the cargo,Dew point of the outside temperature,Temperature of the cargo, Outside air temperature,A,
580,Which health hazard term is listed on a Material safety Data Sheet (MSDS) to indicate that contact with the substance will freeze body tissue on contact? ,Cryogenic,Freeze hazard,Cyanosis,Freon hazard,A,
581,Which is an advantage of using watertight longitudinal divisions in double bottom tanks?,It reduces free surface effect,Increases the rolling period,Decreases the weight due to less stiffeners,Lowers the center of gravity without decreasing the GM,A,
582,Which is the best extinguishing agent for LNG fires on deck?, Dry chemical powder,Foam type extinguisher,CO2 extinguisher,Sea water,A,
583,Which is the lowest temperature at which the liquid will flow when cooled under prescribed condition?,Pour point,Pumpability,Newtonian flow,Cloud point,A,
584,Which material should NOT be used to secure cargo on deck for a voyage?,Fiber rope,Wire rope,Steel chain,Steel strapping,A,
585,Which method of stowing bagged cargoes will result in the smallest percentage of broken stowage?, Half bag, Full bag,Bag-on-bag,Double tier,A,
586,Which method of welding is employed where there is actual melting of the material being joined?, Fusion weld,Fillet weld, Butt weld,Arc weld,A,
587,Which of the following actions are stated in the correct order prior to loading or discharging cargo on a Ro-Ro vessel?,"Lower the stern ramp, raise/open stern door, turn on ventilation for cargo holds","Turn on ventilation for cargo holds, raise/open stern door, lower the stern ramp","Turn on ventilation for cargo holds, lower the stern ramp, raise/open the stern door","Raise/open stern door, lower the stern ramp, turn on ventilation for cargo holds",A,
588,"Which of the following causes an ESD during cargo transfer operation on LNG ships? I. Electrical blackout II. Fire III. Manual activation IV. Gas detection on gas hazardous area "," I, II and III", I and III,II and III,All choices,A,
589,Which of the following comprehensive computerized maintenance system database modules would contain data such as part numbers and part stowage locations?,Inventory management module,Equipment management module,Planned maintenance management module,Requisitions management module,A,
590,Which of the following deballasting operations performed in conjunction with loading cargo could be accomplished without the use of a ballast pump?,Draining a salt water ballast tank located above the waterline.,Filling a salt water ballast tank located below the waterline.,Filling a salt water ballast tank located above the waterline.,Draining a salt water ballast tank located below the waterline.,A,
591,Which of the following describes the difference between a closed freight container and an open freight container?,A closed unit encloses its contents with a permanent structure and the open unit does not,A closed unit encloses its contents with a semi-permanent structure and the open unit does not,An open unit encloses its contents with a permanent structure and has an access door that the closed unit does ,An open unit encloses its contents with a semi-permanent structure and the closed unit does not,A,
592,Which of the following does not affect free surface?, amount of liquid in the tank,width of the tank, length of the tank,displacement of the ship,A,
593,Which of the following is a characteristic of a Ro-Ro vessel?,Short in port turnaround times,Long port stays necessary to secure vehicles,Passenger tours available upon docking,Heavy vehicles only require lightweight securing equipment,A,
594,Which of the following is INCORRECT when carrying coal?,coal should be thoroughly ventilated,spontaneous combustion is possible for coal cargo,coal generates methane gas,some types of cargoes cause corrosion to the vessel,A,
595,Which of the following is NOT a division of lots in a survey of damage to facilitate drawing up of a fire damage report?,collapse of package and stowage of commodity,injuries in obtaining access to the seat of the fire,damage by smoke,damage by water in extinguishing of the fire,A,
596,Which of the following is NOT an advantage of a double bottom tank?,They are less expensive to construct,The tank top forms a second skin for the vessel,The center of gravity for a loaded vessel may be raised for a more comfortable roll.,The floors and longitudinals distribute the upward push of the water on the ships bottom,A,
597,Which of the following is not found in the deadweight scale?, fresh water allowance,draft,displacement,tons per centimeter immersion,A,
598,Which of the following is the lightest hydrocarbon gas?, Methane,Ethane,Butane,Propane,A,
599,Which of the following is the reason the GM is a valid measure only for initial stability?,the metacenter does not remain in the same position for large angles of inclination,the center of gravity shifts due to inclination,the center of gravity shifts above the metacenter as the vessel inclined,the metacenter remains in the same position regardless of angle of inclination,A,
600,Which of the following is the stated proper sequence before commencing cargo operations aboard Ro-Ro vessels?,"Notify engine room, lower the ramp, start ventilation","Start ventilation, lower the ramp, notify engine room","Lower the ramp, start ventilation,  notify engine room","Start ventilation, notify engine room, lower the ramp",A,
601,Which of the following is used when the entire length has been into a number of equal parts by an odd number of ordinates?,Simpsons 2nd rule,Simpsons 1st rule,Simpsons 3rd rule,All choices,A,
602,Which of the following liquefied hydrocarbon gasses has the lowest boiling point?, Methane,ethane,butane,propane,A,
603,Which of the following lube oil filters would be considered acceptable for use with today's high detergent additive type oils?,Cotton waste packed in perforated metal containers or cylindrical cartridges.,Foamed polyurethane of the impingement type supported on perforated metal rings.,Cylindrical elements containing fullers earth combined with c cellulose.,Chemically treated paper and waste in cartridges.,A,
604,Which of the following materials have the best ability to withstand sub-zero cryogenic temperatures:,stainless steel,high carbon steel,tungsten carbide,carbon fiber,A,
605,Which of the following principles are to be followed in the carriage of explosives as laid down in the Merchant  Shipping (Dangerous goods) Regulations?,Compartment electrical apparatus and cables are designed to minimize risk of fire or explosion.,No specific rule is applicable,Compartment electrical apparatus and cables must be grounded,No goods to be stowed in compartments with electrical apparatus and cables,A,
606,Which of the following space(s) is(are) deducted from gross tonnage to derive net tonnage?,Chart room,Companions and booby hatches,Ballast tanks,Open structures,A,
607,Which of the following type of brine is used more frequently on the cargo hold refrigeration system because it has lower freezing point?,Calcium chloride,Magnesium chloride,Zinc chloride,Sodium chloride,A,
608,Which of the following valves offer the least resistance to flow when fully open?,gate valve,relief valve,butterfly valve,non-return valve,A,
609,Which of the following will increase the height of center of buoyancy of your vessel?,discharging weight from the lower deck, loading weight in the upper decks, shifting weight from lower to upper decks,shifting weight from upper to lower decks,A,
610,Which of the listed processes would most satisfactorily lower the humidity of the air being circulated by an air conditioning system?,"Cooling the air to a point below dew point, then reheating it",Cooling the air to a temperature just above dew point,"Heating the air to a point at which moisture will boil off, then recooling it",Heating the air and then cooling it to a point below dew point,A,
611,Which of the listed valve types on tank vessels is most commonly used in conjunction with hydraulically actuated control?,Butterfly valve,Globe valve,Non-return valve,Gate valve,A,
612,Which of the terms best describes the process of the production of vapor above the surface of a boiling cargo due to evaporation on an LNG tanker?,Boil-off,Condensation,Solidification,Adiabatic,A,
613,"Which piece(s) of equipment is/are required to ""twin-up"" 30-ton pedestal cranes aboard a crane vessel?",Equalizing beam,20-foot container spreader,Portable power swivel,All of the choices,A,
614,Which publication should be followed to ensure compliance with the requirements of SOLAS for the carriage of dangerous goods in packaged from?, IMDG code, BC Code,IBC code,SOLAS chapter V,A,
615,Which statement about dangerous cargo manifest is FALSE?,Shipments of hazardous and non-hazardous cargoes may be listed on the manifest if they are destined for the same consignee,The manifest must be kept in a designated holder on or near the bridge,"The manifest must be made up by the carrier, agents, and any person designated for this purpose","The hazard, class of each cargo must be indicated",A,
616,Which statement about design of bilge keel is correct?, they joined at the shell plate with a weak joint, the area where the bilge keel is attached at low stress area,furnace bilge keels protect beyond the extend lines of the side shell and bottom,the bilge keel is the crucial strength members and requires careful design,A,
617,Which statement about splicing two lines together is TRUE?,Splicing two lines together is stronger then knotting two lines together,Splicing is used to prevent rotting of the lines bitter end, Splicing is used to increase the  overall strength of the line, Splicing is used to increase the circumference  of the line,A,
618,Which statement is NOT true concerning precautions during fueling operations?,Fuel tanks should be topped off with no room for expansion," All windows, doors and hatches should be closed","All engines, motors and fans should be shutdown when refueling", A fire extinguisher should be kept nearby,A,
619,Which statement is TRUE concerning the short exposure tolerance for Benzene?,3000 ppm is endurable for 30 - 60 minutes (single exposure),500 - 1000 ppm for 30 - 60 minutes will produce definite irritation to the trachea,5.5 ppm for 1 minute is practically intolerable,"No chronic effects noticed after 20,000 ppm exposure for 5 - 10 minutes",A,
620,Which tanker discharge pattern would be the safest and most efficient?,"Start discharging with most of the discharge coming from forward, but include some from midship and after tanks",Start pumping from midship and then work forward and aft simultaneously as the midship tank is emptied,"Start pumping from forward, midship, and aft with the discharge distributed equally among the tanks","Empty the forward tanks and start working aft, emptying each tank in sequence",A,
621,"Which toxic gas is a product of incomplete combustion, and is often present when a fire burns in a closed compartment?",Carbon monoxide,Carbon dioxide,Hydrogen sulfide,Nitric oxide,A,
622,Which type of cargo containment system categorized an LNG carrier?,Type “B” design,Type “A” design,Type “C” design,All choices,A,
623,"Which type of ship otherwise known as the ""maid of all work"", operating worldwide, ""go anywhere"" service of cargo transportation?",General Cargo Ship,Ro-Ro ship,Passenger Ship,Container ship,A,
624,"While at sea, the vessel moves bodily along the transverse axis of the vessel.",swaying,pitching,surging,pounding,A,
625,"While on cargo watch, you notice one of the containers of Class 1 explosive materials has been damaged and some of the contents has leaked onto the deck. In accordance with U.S. regulations what actions must be taken?",The Master must report the incident to the COTP as soon as practical,Repairs can be made onboard by the crew as long as the vessel remains in port,The incident must be reported to the stevedore and repairs can be done on the vessel,Contents may be set aside until it is convenient to offload them,A,
626,Why are most break bulk vessels built with the transverse framing system rather than the longitudinal system?,The deep web frames interfere with the stowage of break bulk cargo.,The numerous longitudinal frames cause excessive broken stowage.,The transverse system is more resistant to hog and sag stresses.,The transverse system provides better support to the varying cargo densities on a break bulk vessel.,A,
627,Why does LPG gas carrier not required to have gas freeing?,cargo tanks are purge of water and air,regulation does not require,cargo tanks are inspected less frequency,LPG content makes it less volatile,A,
628,Wind and seas has caused a difference between drafts on the starboard and port. This difference is called:,heel,list,trim,flotation,A,
629,Wire rope composed of three parts.  Which of the following is NOT a part?,Fibers,Strands,Core,Wires,A,
630,With a yard-and-stay rig ______.,"One boom plumbs directly over the hatch, other boom extends to the wharf",Both sets of boom are topped at 45 degrees,Both booms are set in a wing-to-wing position,The yard-and-stay is a wing boom system,A,
631,"With reference to the requirements of the International Grain Code, the maximum unsupported span for shifting boards of 2.5 meters shall have a thickness of", 50mm,60mm,70mm,80mm,A,
632,"With reference to the requirements of the International Grain Code, the maximum unsupported span for shifting boards of 3.0 meters shall have a thickness of:",60mm,70mm,80mm,90mm,A,
633,"With reference to the requirements of the International Grain Code, the maximum unsupported span for shifting boards of 3.5 meters shall have a thickness of:",70mm,60mm,80mm,90mm,A,
634,"With reference to the requirements of the International Grain Code, the maximum unsupported span for shifting boards of 4.0 meters shall have a thickness of:", 80mm,70mm,90mm,60mm,A,
635,"With regard to a ballast system associated with a dry cargo ship, what is the primary purpose of the double-bottom ballast tanks?",Adjusting the overall draft of the vessel or correcting a condition of list.,Adjusting the trim of the vessel.,Correcting a condition of sagging of the vessel.,Correcting a condition of hogging of the vessel.,A,
636,Yawing is the angular motion of the vessel about what axis?,Vertical,Horizontal,Transverse,Centerline,A,
637,"You are aboard a tanker with a GM of 9 feet. You desire to remove a 2.5° list to starboard by pumping ballast seawater from No. 6 starboard wing tank to No. 6 port wing tank. The vessel's displacement is 15,000 tons. The distance between each wing tank and the centerline is 40 feet. How much ballast water must be shifted?",147 tons,135 tons,155 ton,140 tons,A,
638,You are cleaning the tanks after carrying a cargo of crude oil. Which statement is true?,Steam cleaning and water washing are both capable of generating electrostatic charges within tank.,The hoses to portable cleaning machine should be disconnected before the machines are removed from the tank.,Washing water should be re-circulated if possible because it has the same electric potentials as the cargo tank being cleaned,The principal hazard with steaming cargo tanks is raising the ambient temperature above the flame point of the cargo residue,A,
639,"You are going to load bales of wool having a stowage factor of 100 in No.3 lower hold which has a bale cubic of 62,000. How many tons of the wool can be stowed in the compartment, assuming 10% broken stowage?",558,620,520,654,A,
640,You are lifting a 3-ton weight with a single whip rove on a swinging boom set at an angle 20 degrees to the horizontal. Use the formula for the size of a shackle with a SWL and determine the minimum size shackle that should be used to secure the head block to the boom.,1-3/8 inch,1-3/4 inch,1-5/8 inch,1-1/2 inch,A,
641,"You are lifting a one-ton weight with a swinging boom.  When comparing the stresses on the rig with the boom at 20° to the horizontal to the stresses when the boom is at 60° to the horizontal, which statement is TRUE?",The stress on the head block is greater at 60°,The thrust on the boom is greater at 20°,The stress on the heel block is greater at 60°,The angle of elevation does not change the stresses in the masthead fairlead for the topping lift,A,
642,You are lifting a one-ton weight with a swinging boom. Compare the stresses on the rig with the boom at 20° to the horizontal to the stresses when the boom is at 60° to the horizontal. Which statement is TRUE?,the thrust on the boom is greater at 60°,the stress on the topping lift is greater at 60°,the stress on the head block is less at 60°, the stress on the heel block is less at 20°,A,
643,"You are loaded with bundles of steel from Yokohama to Manila. On passing Northern Luzon, the dew point of the ambient air was higher than the dew point in the cargo hold. Under this condition, would you ventilate?","NO, sweat will form in the bundles of steel","NO, steel products do not require air","YES, the hold should be ventilated vigorously","YES, only when the air is free of moisture",A,
644,"You are loading at port A governed by the summer load line mark for a voyage to port B governed by the winter mark. The fresh water allowance is 10”, and the hydrometer reads 1.020. Which of the following statement is true?",You should not load to summer mark plus 2 inches if you will be at the winter mark when entering the winter zone,You may not load beyond the summer mark plus 8 inches brackish water allowance,You may not load beyond the summer mark and must be at winter mark upon arrival at port B,You may not load beyond the winter mark except for 2 inches brackish water allowance,A,
