FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
275,Which statement about the ventilation of bulk coal is TRUE?,Coal should not be ventilated; all oxygen should be executed from the cargo.,Coal should be through-ventilated to remove methane and reduce the heat of spontaneous combustion.,Coal should be ventilated only if temperatures in the center of the cargo exceed 125°F,Coal should be surface ventilated only.,D
276,"Which statement below is the proper procedure for handling “Baled Cargo”, except?","Baled cargo is easily damaged by chafing. To prevent chafing, use flat board dunnage underneath bales since dunnage with sharp edges would cut through the bale wrappings.",Dunnage all metal parts in the hold to prevent damage from moisture.,Bales stowed in the wings of the hold are frequently placed on end so that only the outside layers of cargo will be damaged if moisture condenses on the sides of the ship or should chafing damage the bales.,Baled cargoes are used to measure shipments of commodities like paper and some agricultural products such as hay,D
277,Which statement below is false regarding “CARGOES IN HOLD”?,Breaking out cargo stacked higher than reach or tunneling under other cargo is very dangerous,"General cargo, drummed cargo, and barreled cargo are loaded in the wings and ends of the hatch.",Vehicles and heavy lifts are loaded in the square,"For handling heavy cargo, such as asphalt in barrels or POL in drums, personnel should use ladders until the cargo can be handled from the deck ",D
278,Which statement is true concerning the oxygen indicator?,Exposure to flue gas has no effect on the instrument,The instrument can detect hydrogen gas,Only one level of the tested space need be sampled by the instrument, Prolong exposure to CO2 can result in false readings,D
279,Which statement is TRUE of centrifugal pumps aboard tankers?,They require extensive maintenance.,They are used for stripping pumps.,They are more expensive than reciprocating pumps.,They are gravity-fed.,D
280,Which statement(s) is/are TRUE concerning crane cargo operations?,"During any cargo handling operation, the safety of personnel is paramount.",Do not exceed rated load capacity of crane and container spreader or slings.,Cargo handlers must be outfitted with adequate protection from personal injury.,All the above,D
281,Which tensioning device is used with chain to secure heavy vehicles aboard Ro-Ro vessels?,Ratchet tensioner,Buckle tensioner,Adjust-a-matic tensioner,Tumbuckle,D
282,Which tensioning device is used with webbing to secure light vehicles aboard Ro-Ro vessels?,Chain lever,Tumbuckle,Adjust-a-matic tensioner,Ratchet tensioner,D
283,"While the vessel is underway, the whole hull structure vibrates causing moisture migration within the cargo which is ______",The movement of moisture from within a cargo to the surface due to cargo sweating,The movement of moisture from a cargo surface to the bilges,The movement of moisture from the surface of the cargo into the cargo due to vibration,The movement of moisture from within a cargo to the surface due to vibration,D
284,Who is responsible for the final inspection ensuring a tank barge is provided with the required equipment and has fittings in good and serviceable condition prior to loading cargo?,Charterer through the Master of the towing vessel,Owner of the barge,Terminal operator,Tankerman or person in charge of loading,D
285,Who should be satisfied when conducting stripping tests on cargo tanks and piping system onboard?,The Master,The Flag State,The Port State,The Owners,D
286,Why is gas-freeing rarely required for LPG cargo tanks?,LPG's high oxygen content makes it nonvolatile.,LPG is compatible with all cargoes.,Cargo tanks are inspected less frequently than on oil tankers.,The cargo tanks are used for one type of cargo only.,D
287,"With a stowage factor of 96, bales of wool will be loaded in No.3 lower hold which has a bale cubic of 84,000. How many tons of wool can be stowed in the compartment?",577,602,654,875,D
288,"With power operated steering gears the time taken to put the rudder from 35˚ on one side to 35˚ on the other side, or 35˚ on either side to 30˚ on the other side, is not to exceed _____________________.",30 sec at the navigable speed,25 sec at the maximum navigational speed,60 sec at the maximum service speed,28 sec at the maximum service speed,D
289,"Within the tropical zone, a supertanker loads at SPM and she will enter the summer zone six days after departing the loading port. She will burn off 45 tons/day and daily water consumption is 8 tons. How many tons may she load over that allowed by her summer load line?",270,278,291,318,D
290,"You are going to load bales of wool having a stowage factor of 100 in #3 lower hold which has bale cubic of 72,000. How many tons of the wool can be stowed in the compartment, assuming 10% broken stowage?",577,602,493,468,D
291,"You are loading a cargo of canned goods with a stowage factor of 65. If you allow 15% for broken stowage, how many tons can be loaded in a space of 55,000 cubic feet?",973,846,687,719,D
292,You are on cargo vessel carrying portable tanks of dangerous cargoes in bulk. Which of the following statement is true?," If the tanks are pumped out while remaining on board, each hose connection must have a minimum of three bolts","When transferring sulphuric acid, you must display a red flag by day whether at anchor or moored","If the tanks are off loaded, no more than two tanks may be lifted together in a hoist",All electrical within 10 feet horizontally must be explosion proof or intrinsically safe,D
293,You are on watch at sea at night when a fire breaks out in # 3 hold just forward of the bridge. You would NOT ______.,shut down the cargo hold ventilation,call the Master,sound the fire alarm signal to roust out all hands,proceed to the space and inspect the extent of the fire,D
294,You are ordering ship's stores. Which statement is TRUE?,Stores certified for use on uninspected vessels may be identified by the certification number used by Underwriter's Laboratories,Acetylene may be in a ship's storeroom in quantities not exceeding 6000 cubic feet.,"Stores such as line, rags, mattresses, linens, etc. must be treated to be fire retardant.",A portable container of a flammable liquid used as fuel for portable auxiliary equipment must be stowed in a paint locker or at a designated open location.,D
295,You are planning the stowage of two incompatible products on your multiple-product tankship. What will NOT provide the minimum required segregation?,Diagonally adjacent tanks,Tank containing a third cargo compatible with the other two,Empty tank,Solid (non-intercostal) bulkhead,D
296,Your containership has a container displaying a hazardous cargo placard. The placard has the number 2199 on it. This indicates that it is carrying what cargo?,Adiponitrile,Xylenol,Furan,Phosphine,D
297,Your containership has a container displaying a hazardous cargo placard. The placard has the number 2224 on it. This indicates that it is carrying what cargo?,"Propadiene, inhibited",Acrylic acid,Hexanol,Benzonitrile,D
298,Your containership has a container displaying a hazardous cargo placard. The placard has the number 2282 on it. This indicates that it is carrying what cargo?,Isoheptene,Phosphine,Furan,Hexanols,D
299,Your vessel rolls slowly and sluggishly. This indicates that the vessel:,has off-center weights,is taking on water,has a greater draft forward than aft,has poor stability,D
300,"Your vessel's forward draft is 24' 00" and the aft draft is 26' 06". The trim is:","6' 02" by the stern","6' 02" by the stern","2' 06" by the head","2' 06" by the stern",D
301,""Loss of suction in the suction line" during stripping is due to _____",excessive air in line as vessel is listed away from the tank being stripped,less liquid found in the delivery line,excessive air in line as vessel is listed towards the tank being stripped,reduced RPM of the pump,C
302,""Slow and easy motion" in a seaway is an indication of a vessel ______",discharging her cargoes in the upper tween deck area,increasing her righting arm,using most of her fuel oil from the double bottom tanks,transfering 400 T of her cargoes from forward to the poop deck area ,C
303,A careful inspection of structural damage should be carried out after dealing with spillages of substances:I. corrosive to steelII. cryogenic liquidsIII. reactive to water,I only,II only,I and II,"I, II and III",C
304,"A booklet that was prepared and distributed by National cargo Bureau, Inc., provide guidance for shipowners, operators, agents, shipmasters to the stowage and carriage of bulk grain.",Thomas Stowage,Safe Cargo Handling Booklet,General Information for Grain Loading,Trim and Stability Calculation Booklet,C
305,A careful inspection for ___________ should be carried out after dealing with spillage or highly corrosive materials.,radiation,personnel,structural damage,All of the choices,C
306,"A cargo hold is fully filled with grain, what is the percentage of the space which can be occupied by water in an emergency? ","6,500 m3 for every 12,000 m3 full capacity ","6,000 m3 for every 14,200 m3 full capacity ","11,700 m3 for every 18,000 m3 full capacity","15,300 m3 for every 18,350 m3 full capacity ",C
307,"A cargo vessel is loading a cargo of cases into a hold which has a bale cubic of 44,000. The cargo consists of cases measuring 4 ft by 2 ft by 1.5 ft. Estimated broken stowage is 15%. What is the maximum number of cases which can be stowed in the hold?","3,096","3,136","3,116","3,156",C
308,"A category of health hazard, as listed on a Material Safety Data Sheet (MSDS) which includes teratogens and mutagens, is called a:",pyrophoric hazard,reactive hazard,reproductive hazard,contamination hazard,C
309,A characteristic of most petroleum vapors is that they are:,lighter than air,not explosive at low temperatures,heavier than air,inert in stable air,C
310,A chemical that causes a substantial proportion of exposed people or animals to develop an allergic reaction in normal tissue after repeated exposure is listed on a Material Safety Data Sheet (MSDS) as a:,skin contact hazard,physical hazard,sensitizer,skin absorption hazard,C
311,A filled water ballast tank when ship is in salt water has a permeability of:,80-85%,100%,0%,30-60%,C
312,A fitting at the end of a cargo line in a tank that allows suction to be taken close to the bottom of a tank.,Suction end,Strainer,Bell-mouth,Vacuum valve,C
313,A flat keel construction that aids in the resistance of a vessel to roll and fitted along either side of the ship is called:,off-set bulb plate,flat bar,bilge keel,doubling plate,C
314,A floating vessel with an initial negative metacentric height:,will capsize,will incline further,may lie at an angle of loll,may be initially level,C
315,A forepeak or collision bulkhead in passenger ships (not Ro-ro) shall be fitted which shall be watertight up to the bulkhead deck. What should be the distance of this bulkhead from the forward perpendicular?,Not less than 11% of ships length and not more than 8 meters plus 11% of ships length,Not less than 8% of ships length and not more than 5 meters plus 8% of ships length,Not less than 5% of ships length and not more than 3 meters plus 5% of ships length,Not less than 11% of ships length and not more than 11 meters plus 14% of ships length,C
316,A heavy angle iron running fore and aft the length of the ship located on top of the keel plate.,King beam,Keel rake,Keelson,Keel plate,C
317,A high cube container is designed specifically to:,carry cargoes of very low stowage factors,stow cargoes with concentrated weights such as machinery,carry low density cargoes,protect fragile cargoes,C
318,A high cube container would most likely be used to stow:,dense bulk cargoes,fragile cargoes,household appliances,heavy industrial machinery,C
319,A lashing is placed across a hook to prevent a fitting from slipping out of the hook is called ______,Worming,Faking,Mousing,Flemishing ,C
320,"A liquid, as listed on a Material safety Data Sheet (MSDS), having a flash point below 100°F (37.78°C) is called a/an:",explosive liquid,combustible liquid,flammable liquid,viscous liquid,C
321,A machine operated either by hand or power to which a rope may be made fast and wound around the barrel.,Windlass,Trunnion,Winch,Gipsy,C
322,A noxious liquid substance which is not a solidifying substance is:,solidifying substance,liquefying substance,non-solidifying substance,flammable substance,C
323,"A packaging term for transport purposes, consisting of one or more inner packaging secured in an outer packaging.",Boxes,Crates,Combination packaging,Composite packaging,C
324,"A pipe leading from the weather deck to a bilge or double bottom tank, down which a sounding rod may be passed to ascertain the amount of water in the compartment.",Fresh water tank pipe,Bilge tank pipe,Sounding pipe,Ballast water tank pipe,C
325,A portion of the cargo of an LNG carrier boils off during each voyage. How is the cargo boil off normally handled?,Vented to the atmosphere.,Mixed with nitrogen and re-circulated through the primary barrier.,Burned in the boilers.,"Compressed, condensed, and return to the cargo tanks.",C
326,A product can be wound immediately into coils from the rolling mill whilst still hot.,Steel coil,Steel slab,Wire rod coil,Steel plates,C
327,"A ship 128 meters long has maximum beam of 20 meters at the water line, and a coefficient of fineness of 0.85. Calculate the TPC at this draft.",21.3 tons,19.3 tons,22.3 tons,25.3 tons,C
328,"A ship heels 5 degrees as it makes a turn. If the draft when upright is 12 m, calculate the draft when heeled given that the breadth is 32 m.",13.394 m,13.264 m,13.348 m,13.438 m,C
329,A ship LBP 146 m floats at drafts 4.22 m F and 5.30 m A and has LCF 78 m FOAP. Calculate the true mean draft.,4.797 m,4.732 m,4.723 m,4.760 m,C
330,A structure later added or deducted after the delivery of the ship to the shipowner.,major repair,major restructuring,retrofit,warranty construction,C
331,A tank holds 400 tonnes of sea water when filled. How many tons of liquid of specific gravity 0.9300 will it hold when filled to 90% capacity?,377.6,343.2,326.6,390.2,C
332,A tank will hold 153 tons when full of fresh water. Find how many tons of oil relative density 0.8 it will hold allowing 2% of the oil loaded for expansion.,130 tons,115 tons,120 tons,110 tons,C
333,"A tanker is loaded with 8,000 barrels of fuel oil. The temperature of the cargo is 50°F. API gravity is 37°. The volume correction factor (VCF) is 0.0005. What is the net amount in barrels of cargo loaded?","7,984","7,960","8,040","8,016",C
334,A thermometer scale calibrated in 180 scale divisions wherein the boiling point of water is at 212 degrees and freezing point is at 32 degrees.,Kelvin Scale,Celsius scale,Fahrenheit scale,Reaumur scale,C
335,"A vessel 180 meters long with drafts 9 m F and 10.5 m A has her center of flotation 5 meters aft of amidship. If MTC and TPC are 250 and 54, respectively, find the amount of cargo to be loaded in cargo hold no. 1, located 80 meters forward of amidship, to bring the vessel's trim to 20 cm by the stern.",406 tonnes,531 tonnes,382 tonnes,500 tonnes,C
336,"A vessel completes loading with a displacement of 29,000 tonnes, KG 9.0 meters, free surface correction 0.21 meters, and KN 4.932 meters. Find the corrected righting arm if the vessel is heeled by 30 degrees.",0.432 meters,0.537 meters,0.327 meters,0.237 meters,C
337,"A vessel displaces 18,100 tonnes, initial KG 6.20 meters, KM 8.35 meters. Find the final metacentric height if 9,450 tonnes of cargo is dicharged from the lower hold (KG 4.15 meters).",(-) 0.12 meters,4.39 meters,(-) 0.09 meters,1.08 meters,C
338,"A vessel displaces 8,800 tonnes, KG 7.02 m, KM 8.98 m. A weight of 500 tonnes is to be loaded from the quay 18 m to starboard of the ship's centerline. If the head of the derrick is 27 m above the keel when topped to it's maximum extent for the lifting operation, calculate the GM when the weight is suspended.",0.825 m,0.426 m,0.886 m,0.842 m,C
339,"A vessel displacing 5,800 tons has a GM of (-) 0.14 m and BM = 4.7 m, Calculate the angle of loll.",12.7 degrees,14.7 degrees,13.7 degrees,11.7 degrees,C
340,A vessel drawing 12.5 meters of water in shallow water. What could be the estimated depth of the water?,15.25 meters,17.15 meters,18.75 meters,19.85 meters,C
341,"A vessel has a following drafts at the FP, Amidships and AP were 12.426 m, 12.622 m and 12.998 m, respectively. The LCF was 4.75 m forward of amidships with an LBP of 190 m, find the draft at the center of floatation.",12.712 m,12.679 m,12.645 m,12.667 m,C
342,"A vessel has a summer load draft of 6.22 m, FWA = 148 mm and TPC at SW = 22. She is loading in dock water density of 1.005 and the present draft is 5.48 m. Calculate the maximum amount of cargo that can still be loaded for her to be at the summer loadline mark on reaching the sea allowing 30 tonness of fuel still to be loaded prior to sailing.","1,851 tonnes","1,888 tonnes","1,821 tonnes","1,858 tonnes",C
343,"A vessel has the following drafts at the FP, Amidships and AP were 8.446 m, 9.224 m and 9.666 m, respectively. The LCF was 2.75 m forward of amidships with an LBP of 160 m, find the quarter mean draft.",9.056 m,9.119 m,9.182 m,9.203 m,C
344,"A vessel in hogging condition, which part has compression stress?",Z-strake,stringer strake,A-strake,deck plating,C
345,"A vessel is at dock where the water density is 1000.She draws 36'04". What would she draw in salt water having density of 1026?","37'03"","34'06"","35'05"","36'04"",C
346,"A vessel is floating in dock water RD 1.003 at a draft of 4.28 m. How much more cargo must be loaded to ensure that the ship will be at the winter loadline mark given that the winter draft corresponding to the winter displacement is 4.32 m, TPC is 22.2 and FWA at 118 mm. Loading of 30 tonnes of bunker was cancelled.",283 tonnes,320 tonnes,313 tonnes,290 tonnes,C
347,"A vessel is to lift a cargo weighing 30 tons her boom whose head is 30 feet from center line. The ship's displacement excluding the weight to be lifted is 8,700 tons. KM is 21.5 feet; KG is 20.5 ft. What will be the list of the vessel when the cargo is lifted?",2.8°,3.4°,5.8°,1.4°,C
348,"A vessel, measuring 90 m x 10 m x 6 m, is floating in salt water. If the new draft after shifting is 2.815 m F and 3.185 m A creating a 37 cm change of trim , find the old draft before the shifting of 64 tonnes at a distance of 40 meters aft.",2.630 m F & 3.370 m A,2.745 m F & 3.370 m A,3.001 m F & 3.002 m A,3.185 m F & 2.815 m A,C
349,A well conducted draft survey is capable of achieving an absolute accuracy of within __________________,plus or minus 2.50 percent of the cargo deadweight,plus or minus 1.20 percent of the cargo deadweight,plus or minus 0.50 percent of the cargo deadweight,plus or minus 0.02 percent of the cargo deadweight,C
350,"According to regulations, access to a cargo pumproom in a tank vessel carrying grades C or D liquid cargo shall be:",from areas equipped with power ventilation,only from enclosed areas free from sources of vapor ignition,from the open deck,from within the vessel,C
351,"According to SOLAS Chapter VII, Regulation 6: “When an incident takes place involving the loss or likely loss overboard of dangerous goods in packaged form into the sea, the master, or other person having charge of the ship, shall report the particulars of such incident without delay and to the fullest extent possible to the nearest _____________________.",Port Sate,Flag State,Coastal Sate,Rescue Team,C
352,"According to the Chemical Data Guide, propylene oxide is assigned a health hazard rating of 3,2,2. The last digit "2" of the rating means:",chemical vapors will cause a slight smarting of the eyes or respiratory system if present in high concentrations,"the chemical contains fairly severe skin irritants, causing second- and third-degree burns after a few minutes contact",the chemical poison presents some hazard if it enters the body and typically has threshold limits of 100 to 500 ppm,"the chemical is severely hazardous, usually having threshold limits below 10 ppm",C
353,"According to the Chemical Data Guide, what is NOT a characteristic of allyl chloride?",It has a Reid vapor pressure of 10.3 (psig),It is a clear to strawberry colored liquid,It has sour odor,It is classified as a grade B poison,C
354,"According to the IMO Code, what are the minimum number of securing points that should be on each side of a "road vehicle"' whose gross vehicle mass is between 20 tons and 30 tons, when carried on Ro-Ro vessels?",One,Two,Three ,None of the above,C
355,"According to the regulations, to prevent excessive pressure buildup in cargo tanks containing LFG, they are fitted with:",pressure vacuum relief valves,excess flow valves,safety relief valves,flame screens,C
356,Accumulated oil found in the pump room bilges is to be:,discharged over the side on an outgoing tide,transfererd to the sea chest,re-routed by pump into the slop tanks,pumped into a clean ballast tank,C
357,"After the draft survey, the second trim correction, LBP and true trim are 57 tonnes, 200 meters and 208 cm, respectively. Find her moments to change the trim by one centimeter if her mean draft is 9.86 meters.",55 tonnes m/cm,52 tonnes m/cm,53 tonnes m/cm,56 tonnes m/cm,C
358,All handling and stowage of packaged hazardous materials on board a domestic vessel engaged in foreign trade shall be done under the supervision of __________.,the National Cargo Bureau,a U.S. Coast Guard Marine Inspector,an officer assigned to the vessel,the American Bureau of Shipping,C
359,"An acceptable method of temporarily sealing a crack formed in the hull of a vessel, is to:",shore up the crack with welded braces,drive in wedges,apply a patch of sheet packing backed by a shole and shoring,tack weld a doubler plate over the crack,C
360,An explosive which effects almost the entire load virtually instantaneously.,Pyrotechnic Substance,Explosive Substance,Mass Explosion,Explosive Article,C
361,An inert gas system on a tanker should be used to __________.,prevent the generation of flammable or combustible gas in tanks,blow out cargo lines to prevent the buildup of gas concentrations,dilute tank atmospheres to keep gas concentrations below the lower explosive limit,prevent fires in the pump room by continually displacing flammable vapors,C
362,"As soon as gasoline fumes engulfs a confined space, which statement is true?",It will mix with air immediately,It will settle in ceiling part of the space as it is lighter than air,It will settle in the bottom part of the space as it is heavier than air,It will burn immediately due to spontaneous combustion,C
363,"As soon as the gasoline or crude oil enters the cargo tank of the vessel, it will____________.",settle in the bottom thereby separating oil from water,create electrostatic charge as it passes the cargo pump,start to evaporate,enter the suction line until the cargo pump strainer,C
364,At what maximum gas concentration must the fixed gas detection system on a LNG ship activate an audible and visual alarm?,30% by volume.,20% by volume.,30% by lower flammable limit,20% of the lower flammable limit.,C
365,Automobiles are stowed on top of the hatch in the after section of the vessel if __________,vessel has amidship superstructure located in the last quarter length,vessel has a superstructure enough to shield the water sprays and winds,vessel has amidship superstructure,if the deck is stiffened or reinforced with high tensile steel,C
366,"Ballast tanks are subjected to a sea water and therefore needs special corrosion protection, the most commonly used are:",anode protection only,coating protection only,cathodic and coating protection,cathodic protection only,C
367,Battens are fitted in cargo holds across the frames of the vessel from the turn of the bilge upward. The purpose of these cargo battens is __________.,for securing a snatch block when snaking cargo into the wings of the hold,to support the dunnage floors which are laid down between tiers of cargo,to prevent cargo from coming in contact with the vessel's frames or shell plating,to provide fittings to which cargo lashings may be secured,C
368,"Because of the arrangement of the cell guides, the MOST important factor while loading containers is the __________.",weight of the container,size of the shoreside crane,list of the vessel,contents of the container,C
369,"Before entering any space that has been sealed, its oxygen level should be tested. What level of oxygen in the space is equal to fresh air?",10%,15.8%,20.8%,25.8%,C
370,"Before loading bulk grain, bilge wells must be covered to:",add strength to the bilge well strainer,permit rapid flow of water to the bilge wells,prevent cargo shifting into the bilge wells,"prevent oil, water, or other liquid from reaching the cargo",C
371,"Before the ship can load the next cargo, what should be done with the cargo holds?",Cargo holds must be newly painted,Cargo holds must be inspected by the surveyors,Cargo holds must be adequately cleaned,All of the choices,C
372,Bodily movement of the vessel along the vertical axis of the vessel refers to ____________,yawing motion,pounding motion,heaving motion,surging motion,C
373,"Canned goods with a stowage factor of 65 is to be loaded. If you allow 15% for broken stowage, how many tons can be loaded in a space of 55,000 cubic feet?",687,565,719,973,C
374,"Cargo handlers are responsible for terminal clearance. To perform this task successfully, follow these guidelines:",Cargo should be allowed to accumulate on the pier to avoid damage and pilferage,Clear cargo from the terminal as quickly as possible and load the cargo directly onto the tarmac for delivery ,"packages that show signs of wear and tear or attempted pilferage, they should return them to the warehouse for disposition","Damage may seldom occur in transit, in handling, or from chafing, crushing, contamination, moisture, or shifting.",C
375,"Cargoes is affected by radiant heat, it should be stowed under deck and ____________ sources of heat, steam pipes, heating coils, lamp and other sources of heat.",""separated from a complete compartment or hold from"",""separated from"",""away from"",on deck only,C
376,Cargoes of similar likes and types are called:,Bale cargoes,Bulk cargoes,Homogenous cargoes,Break Bulk cargoes,C
377,Cargoes that might leak from containers are known as __________.,dirty cargoes,caustic cargoes,wet cargoes,bulk cargoes,C
378,Corrosion or wear and tear over the years of service have decreased scantlings of shell plating over a period of 10 years in service ____________. ,from A1 condition when built to C3 condition,from 10 mm when built to only 3 mm,from 18 mm when built to only 9 mm,from 20 mm when built to 12 mm only,C
379,Cranes should always be marked with:,the vessels name,the equipment number,their safe working load,the manufacture's name,C
380,"Damage to cargo caused by fumes of vapors from liquids, gasses or solids is known as _________.",contamination,oxidation,tainting,vaporization,C
381,During loading of dangerous goods a package is dropped. Despite damaging the packaging the product can be clearly seen and is not damaged. What should be done?,Reject the package, Make an entry in the Log Book, Advise the Master,Repair the packaging,C
382,Escaping gas can be detected by ___________?, increase the line pressure,running hand along pipe,vapor odor, Red flame,C
383,"Evaluating GZ curves is often difficult and time consuming, simplified stability information must be incorporated into the ________________.",ship's deadweight diagram or table,ship management system manual (SMS manual),ship's stabilty booklets,GZ cross curves with quick displacement ,C
384,"Find the angle of loll of a vessel with a GM = (-) 0.13 m and BM = 4.6 m. Displacement is 5,300 tons.",12.37 degrees,11.37 degrees,13.37 degrees,13.04 degrees,C
385,"Find the new height of the center of gravity after the shift of 1,500 tons of cargo from the main deck to the hold a distance of 40 feet. The vessel has a displacement of 30,000 tons and a KG of 30 feet:",30 feet,29 feet,28 feet,31 feet,C
386,"Find the relative density of dock water whose density 1,015 kgs / cu. m?",1.000,1.012,1.015,1.025,C
387,"Find the shift of the center of gravity of a vessel with 1,500 tonnes displacement when a weight of 25 tonnes is shifted from the starboard side of the lower hold to the port side on deck through a distance of 15 meters?",.35 meter,.15 meter,.25 meter,.45 meter,C
388,Flammable liquids should have what kind of label?,Skull and crossbones,Yellow,Red,White,C
389,"For every one cubic meter of fresh water, it will weigh __________",1000 metric tonnes,one metric cubic,one metric tonne,three cubic meters,C
390,"For waste dangerous goods or for processing or disposal, the proper shipping name should be preceded by the word:",""marine pollutant"",""danger"",""waste"",""slop"",C
391,Full reference and details relating to dangerous goods will be found in which document?, “M” Notices, Stowage Plan,IMDG Code,ISM Guidelines,C
392,Fully containerized vessel has what disadvantage compared to a conventional break-bulker?,Greater operational safety,Lower stevedoring costs,can carry all forms of cargo,Reduction of cargo damage,C
393,Gases which cannot be liquefied at ambient temperatures.,Liquefied gases,Dissolved gases,Permanent gases,Refrigerated gases,C
394,General guidance for Officers when preparing the vessel for survey includes the following statement:,"tanks and spaces are safe for access, gas freed, well ventilated and illuminated with punctured holes from the main deck",all spaces to be cleaned including removal of all loose accumulated corrosion scale in preparation for painting ,"Spaces are to be sufficiently clean and free from water, scale, dirt and oil to reveal corrosion, deformation, fractures and other structural deterioration",Areas of structure whose renewal has already been decided by the owner must be cut by electric arc welding,C
395,GENERAL RULES FOR STOWING CARGO. One objective of proper stowage is to ensure that cargo arrives at its destination undamaged. The other objective is to put as much as you can in the available space. Which statement is true?,"Stop cargo damage by following instructions on labels such as USE HOOKS, THIS TOP UP, DO NOT DROP, and so forth.",Careful pre-stowage planning so that cargo will fill the hold leaving large empty spaces.,Using dunnage for false decks to permit additional stowage.,Proper supervision during loading to ensure correct stowage and discard irregularly shaped packages.,C
396,Grade A flammable liquids are those with a Reid vapor pressure of:,5 to 8 1/2 psia,more than 8 1/2 psia but less than 14 psia,14 psia or more,less than 5 psia,C
397,Gross tonnage is defined as:,light displacement, earning capacity,internal capacity,load displacement,C
398,How does an inert gas system on a tanker function to prevent explosions in cargo tanks?,"De-energizes the "charged mist" effect.",Maintains a positive pressure on the vent header to cool the flammable vapors.,Inert gas dilutes the flammable vapor and air concentrations to keep them below the lower explosive limit.,Inert gas filters out the flammable vapors from the cargo tank spaces.,C
399,How many classes specified in the IMDG-Code?,4,3,9,5,C
400,How much space must you leave in a topped off tank for liquid expansion?,No space is permitted: the tank must be pressed up to reduce free surface effect,Generally 6% to 3% of the tank volume,Generally 1% to 3% of the tank volume,Generally 10% to 30% of the tank volume,C
401,How will you segregate Flammable liquids from Infectious substance when stowing,Horizontal separation of 3 meters projected vertically,Horizontal separation of 6 meters when stowed on deck,Horizontal separation of 12 meters when stowed on deck,Horizontal separation of 24 meters when stowed on deck,C
402,"If a cargo occupies more than forty cubic feet of space per long ton, it is considered.",Stowage cargo in tween deck areas,Hygroscopic cargo allowed in open deck,Cargo stowing to be paid according to its volume,Cargo stowing to be paid according to its weight,C
403,"If a person responsible for the transport of packages containing infectious substances noticed damage or leakage from such package, he should:I. inform the appropriate public authority II. notify the consignor and/or the consignee. III. inform the ship owner",I only,II only,I and II,"I, II and III",C
404,"If a vessel's roll is slow, and she tends to lag behind the inclinations of the surface of the ocean waves, a weak tendency to return to her upright position is said to be in _______________",stiff condition,bottom heavy condition,cranky condition,negative GM condition,C
405,"If the cause of a sudden severe list is due to negative initial stability, counter flooding into empty ballast tanks may __________.",cause an increase in the righting arm,bring the unit to an upright equilibrium position,cause the unit to flop to a greater angle,increase the righting moment,C
406,"If the cause of severe list or trim is off-center ballast, counter flooding into empty tanks will:", increase the righting arm,increase list or trim, decrease list or trim,increase the righting moment,C
407,"If the vertical distance from the keel to the highest mast is 32 meters, find the ruler measurement on the general arrangement plan whose scale is 1:100.",16 centimeters,18 millimeters,32 centimeters,16 millimeters,C
408,"If you carry packaged hazardous cargoes on a break bulk vessel bound foreign, you must __________.",remove the hazardous cargo labels from a portable tank after the tank is emptied,log the receipt of hazardous cargoes in the Official Logbook,have the shipping papers indicate the proper shipping name and the technical name of n.o.s. cargoes,stow the hazardous cargoes on deck available for jettisoning if necessary,C
409,"In a windlass, a riding pawl ___________",disengages the chain links from the wildcat and feeds them down,"is fitted with ridges, called whelps which will grip the chain","locks the wildcat, preventing chain from running out",is a steel hook attached to the chain,C
410,"In case of a LNG leak from a liquid header flanged connection, what is the first precautionary action to take?",Tighten the flange bolts until the leak stops.,Call the Coast Guard,Flood the area under the leak with water,Stop cargo transfer until the cause of the leak is corrected.,C
411,"In controlling pollution, which action should be taken after all dirty ballast has been transferred to the slop tank and prior to discharge through the oily water separator?",The dirty ballast tank is crude oil washed.,The clean tanks should be ballasted.,The slops should be allowed time to settle.,Chemicals should be added to emulsify the oil.,C
412,"In deal conditions, the forward distance a propeller will move in one revolution of the shaft is the:",Slip,Diameter,Pitch,Circumference,C
413,"In gas ships, why are void spaces fitted in a way of tanks? The reasons are: I. to monitor for gas leaks; II. Filled with inert gas at a pressure above atmosphere; and III. To disharge the liquid effectively","I, II and III",II and III,I and II,I and III,C
414,"In order to minimize the effects of a tender vessel, when carrying a cargo of lumber, you should:",maximize your deck load,distribute lumber so that those stowing most compactly per unit of weight are in the upper holds,place the heaviest woods in the lower holds,keep the vessel's frame spaces free from lumber,C
415,"In preparation for receiving chilled reefer cargo, the refer space has been precooled for over twenty-four hours. Loading may begin when the space has been cooled to a temperature between ___________.",-10°F (-23°C) and +10°F (-12°C),12°F (-11°C) and 20°F (-7°C),28°F (-2°C) and +40°F 4°C),42°F (6°C) and 55°F 13°C),C
416,"In preparing a cargo hold for the reception of a bulk grain cargo, what is not required?",Remove loose rust and scale,Remove residue of previous cargo,fasten wooden strips on the side walls ,Spray of fumigate any insect colonies,C
417,"In ships, the corners of all opennings are to be _______________ to avoid stress concentrations.",reinforced with hard steel,widely opened ,well-rounded,well- structured,C
418,"In tanker operation, what is the frequent incident of pollution?",Grounding,Collision,deballasting,Loading and discharging,C
419,In tankers of not more than ________ in length the side shell may be transversely framed and the longitudinal bulkheads may be vertically stiffened.,100 meters,150 meters,200 meters,120 meters,C
